QuickDAQ Data
2018/12/27 19:39:50
Notes:,,
Sample Rate:,99.96746, Hz,
Measurement Type,Time Waveform,Time Waveform,
Channel Name,169.254.226.173.AD.1,169.254.226.173.AD.2,
X Axis Units,Sec,Sec,
Y Axis Units,V,V,
Time,Real,Real,
 0.00000E+000, 0.0013852119,-0.0068271160,
 1.15778E-007, 0.0013899803,-0.0067698956,
 2.31557E-007, 0.0013899803,-0.0068187714,
 3.47335E-007, 0.0013780594,-0.0067985058,
 4.63114E-007, 0.0013947487,-0.0069403648,
 5.78892E-007, 0.0013864040,-0.0069260597,
 6.94670E-007, 0.0013709068,-0.0068354607,
 8.10449E-007, 0.0013995171,-0.0068926811,
 9.26227E-007, 0.0013983250,-0.0069487095,
 1.04201E-006, 0.0013995171,-0.0069689751,
 1.15778E-006, 0.0014185905,-0.0069284439,
 1.27356E-006, 0.0013899803,-0.0069046021,
 1.38934E-006, 0.0013935566,-0.0069391727,
 1.50512E-006, 0.0014138222,-0.0070047379,
 1.62090E-006, 0.0014090538,-0.0070345402,
 1.73668E-006, 0.0013899803,-0.0069308281,
 1.85245E-006, 0.0013792515,-0.0068640709,
 1.96823E-006, 0.0014042854,-0.0070273876,
 2.08401E-006, 0.0013911724,-0.0070059299,
 2.19979E-006, 0.0013637543,-0.0068163872,
 2.31557E-006, 0.0013697147,-0.0067913532,
 2.43135E-006, 0.0013637543,-0.0067305565,
 2.54713E-006, 0.0013577938,-0.0066435337,
 2.66290E-006, 0.0013446808,-0.0066494942,
 2.77868E-006, 0.0013613701,-0.0067675114,
 2.89446E-006, 0.0013947487,-0.0068712234,
 3.01024E-006, 0.0013804436,-0.0068223476,
 3.12602E-006, 0.0013852119,-0.0068271160,
 3.24180E-006, 0.0013780594,-0.0067138672,
 3.35757E-006, 0.0013422966,-0.0065469742,
 3.47335E-006, 0.0013422966,-0.0066304207,
 3.58913E-006, 0.0013673306,-0.0067543983,
 3.70491E-006, 0.0013601780,-0.0067484379,
 3.82069E-006, 0.0013327599,-0.0066840649,
 3.93647E-006, 0.0013303757,-0.0067174435,
 4.05224E-006, 0.0013422966,-0.0066208839,
 4.16802E-006, 0.0013315678,-0.0065541267,
 4.28380E-006, 0.0013291836,-0.0066316128,
 4.39958E-006, 0.0013363361,-0.0066268444,
 4.51536E-006, 0.0013363361,-0.0066208839,
 4.63114E-006, 0.0013494492,-0.0066483021,
 4.74691E-006, 0.0013732910,-0.0067996979,
 4.86269E-006, 0.0013601780,-0.0067305565,
 4.97847E-006, 0.0013160706,-0.0065493584,
 5.09425E-006, 0.0012958050,-0.0065159798,
 5.21003E-006, 0.0013267994,-0.0065910816,
 5.32581E-006, 0.0013506413,-0.0066840649,
 5.44159E-006, 0.0013256073,-0.0065636635,
 5.55736E-006, 0.0013160706,-0.0065505505,
 5.67314E-006, 0.0013232231,-0.0066184998,
 5.78892E-006, 0.0013399124,-0.0066816807,
 5.90470E-006, 0.0013303757,-0.0066542625,
 6.02048E-006, 0.0012993813,-0.0065028667,
 6.13626E-006, 0.0013196468,-0.0066161156,
 6.25203E-006, 0.0013351440,-0.0067532063,
 6.36781E-006, 0.0013577938,-0.0067973137,
 6.48359E-006, 0.0013661385,-0.0067293644,
 6.59937E-006, 0.0013327599,-0.0066483021,
 6.71515E-006, 0.0013458729,-0.0067186356,
 6.83093E-006, 0.0013589859,-0.0067341328,
 6.94670E-006, 0.0013566017,-0.0066947937,
 7.06248E-006, 0.0013566017,-0.0066792965,
 7.17826E-006, 0.0013685226,-0.0067543983,
 7.29404E-006, 0.0013530254,-0.0067269802,
 7.40982E-006, 0.0013470650,-0.0067424774,
 7.52560E-006, 0.0013613701,-0.0067734718,
 7.64138E-006, 0.0013315678,-0.0067055225,
 7.75715E-006, 0.0013387203,-0.0067484379,
 7.87293E-006, 0.0013422966,-0.0066733360,
 7.98871E-006, 0.0013363361,-0.0066602230,
 8.10449E-006, 0.0013577938,-0.0067591667,
 8.22027E-006, 0.0013482571,-0.0067198277,
 8.33605E-006, 0.0013399124,-0.0067186356,
 8.45182E-006, 0.0013554096,-0.0067341328,
 8.56760E-006, 0.0013530254,-0.0067102909,
 8.68338E-006, 0.0013494492,-0.0067782402,
 8.79916E-006, 0.0013351440,-0.0067591667,
 8.91494E-006, 0.0013160706,-0.0066661835,
 9.03072E-006, 0.0013196468,-0.0066375732,
 9.14649E-006, 0.0013077259,-0.0064885616,
 9.26227E-006, 0.0013136864,-0.0065231323,
 9.37805E-006, 0.0013184547,-0.0065815449,
 9.49383E-006, 0.0013339520,-0.0066065788,
 9.60961E-006, 0.0013673306,-0.0068116188,
 9.72539E-006, 0.0013613701,-0.0068104267,
 9.84117E-006, 0.0013351440,-0.0066053867,
 9.95694E-006, 0.0013315678,-0.0065875053,
 1.00727E-005, 0.0013625622,-0.0067591667,
 1.01885E-005, 0.0013649464,-0.0068581104,
 1.03043E-005, 0.0013375282,-0.0067186356,
 1.04201E-005, 0.0013434887,-0.0066626072,
 1.05358E-005, 0.0013482571,-0.0066709518,
 1.06516E-005, 0.0013470650,-0.0066471100,
 1.07674E-005, 0.0013744831,-0.0068366528,
 1.08832E-005, 0.0013887882,-0.0069010258,
 1.09989E-005, 0.0013887882,-0.0068533421,
 1.11147E-005, 0.0013816357,-0.0068402290,
 1.12305E-005, 0.0013434887,-0.0067329407,
 1.13463E-005, 0.0013113022,-0.0066280365,
 1.14621E-005, 0.0013244152,-0.0066566467,
 1.15778E-005, 0.0013291836,-0.0066244602,
 1.16936E-005, 0.0013172626,-0.0065672398,
 1.18094E-005, 0.0013136864,-0.0065958500,
 1.19252E-005, 0.0013303757,-0.0066637993,
 1.20410E-005, 0.0013411045,-0.0067663193,
 1.21567E-005, 0.0013184547,-0.0066566467,
 1.22725E-005, 0.0013411045,-0.0066578388,
 1.23883E-005, 0.0013697147,-0.0067639351,
 1.25041E-005, 0.0013470650,-0.0067007542,
 1.26198E-005, 0.0013196468,-0.0066375732,
 1.27356E-005, 0.0013387203,-0.0066316128,
 1.28514E-005, 0.0013589859,-0.0066590309,
 1.29672E-005, 0.0013744831,-0.0067222118,
 1.30830E-005, 0.0013661385,-0.0067090988,
 1.31987E-005, 0.0013411045,-0.0067305565,
 1.33145E-005, 0.0013422966,-0.0067293644,
 1.34303E-005, 0.0013220310,-0.0066053867,
 1.35461E-005, 0.0013327599,-0.0066184998,
 1.36619E-005, 0.0013625622,-0.0067162514,
 1.37776E-005, 0.0013399124,-0.0066614151,
 1.38934E-005, 0.0013244152,-0.0065505505,
 1.40092E-005, 0.0013649464,-0.0066363811,
 1.41250E-005, 0.0013744831,-0.0067377090,
 1.42407E-005, 0.0013422966,-0.0066864491,
 1.43565E-005, 0.0013279915,-0.0066494942,
 1.44723E-005, 0.0013267994,-0.0066542625,
 1.45881E-005, 0.0013387203,-0.0066936016,
 1.47039E-005, 0.0013315678,-0.0067496300,
 1.48196E-005, 0.0013518333,-0.0067722797,
 1.49354E-005, 0.0013649464,-0.0067806244,
 1.50512E-005, 0.0013291836,-0.0067400932,
 1.51670E-005, 0.0013267994,-0.0066888332,
 1.52828E-005, 0.0013399124,-0.0066781044,
 1.53985E-005, 0.0013363361,-0.0066196918,
 1.55143E-005, 0.0013208389,-0.0065898895,
 1.56301E-005, 0.0013041496,-0.0065982342,
 1.57459E-005, 0.0013315678,-0.0066590309,
 1.58616E-005, 0.0013661385,-0.0067341328,
 1.59774E-005, 0.0013661385,-0.0067234039,
 1.60932E-005, 0.0013482571,-0.0066971779,
 1.62090E-005, 0.0013625622,-0.0068104267,
 1.63248E-005, 0.0013577938,-0.0068056583,
 1.64405E-005, 0.0013601780,-0.0068044662,
 1.65563E-005, 0.0013899803,-0.0069177151,
 1.66721E-005, 0.0013840199,-0.0068914890,
 1.67879E-005, 0.0013840199,-0.0069046021,
 1.69036E-005, 0.0013744831,-0.0068891048,
 1.70194E-005, 0.0013613701,-0.0068569183,
 1.71352E-005, 0.0013589859,-0.0068438053,
 1.72510E-005, 0.0013720989,-0.0068807602,
 1.73668E-005, 0.0013911724,-0.0069057941,
 1.74825E-005, 0.0014019012,-0.0069391727,
 1.75983E-005, 0.0013744831,-0.0068867207,
 1.77141E-005, 0.0013720989,-0.0068533421,
 1.78299E-005, 0.0014102459,-0.0069618225,
 1.79457E-005, 0.0014114380,-0.0069975853,
 1.80614E-005, 0.0013744831,-0.0068831444,
 1.81772E-005, 0.0013661385,-0.0068080425,
 1.82930E-005, 0.0013899803,-0.0068974495,
 1.84088E-005, 0.0013971329,-0.0069296360,
 1.85245E-005, 0.0013816357,-0.0069105625,
 1.86403E-005, 0.0013613701,-0.0068628788,
 1.87561E-005, 0.0013709068,-0.0067758560,
 1.88719E-005, 0.0014078617,-0.0068402290,
 1.89877E-005, 0.0013995171,-0.0068223476,
 1.91034E-005, 0.0013804436,-0.0068318844,
 1.92192E-005, 0.0013828278,-0.0069308281,
 1.93350E-005, 0.0013744831,-0.0068962574,
 1.94508E-005, 0.0013697147,-0.0069272518,
 1.95666E-005, 0.0013768673,-0.0069570541,
 1.96823E-005, 0.0013744831,-0.0069200993,
 1.97981E-005, 0.0013816357,-0.0068926811,
 1.99139E-005, 0.0014090538,-0.0069284439,
 2.00297E-005, 0.0013685226,-0.0067627430,
 2.01454E-005, 0.0013518333,-0.0066840649,
 2.02612E-005, 0.0013673306,-0.0068175793,
 2.03770E-005, 0.0013816357,-0.0068521500,
 2.04928E-005, 0.0014138222,-0.0068986416,
 2.06086E-005, 0.0014126301,-0.0068926811,
 2.07243E-005, 0.0013792515,-0.0067746639,
 2.08401E-005, 0.0013673306,-0.0067472458,
 2.09559E-005, 0.0013732910,-0.0068342686,
 2.10717E-005, 0.0014007092,-0.0070476532,
 2.11874E-005, 0.0014054775,-0.0070214272,
 2.13032E-005, 0.0013887882,-0.0068771839,
 2.14190E-005, 0.0013971329,-0.0069284439,
 2.15348E-005, 0.0013995171,-0.0070071220,
 2.16506E-005, 0.0014126301,-0.0070774555,
 2.17663E-005, 0.0014221668,-0.0070536137,
 2.18821E-005, 0.0014138222,-0.0069987774,
 2.19979E-005, 0.0013971329,-0.0070023537,
 2.21137E-005, 0.0013840199,-0.0069415569,
 2.22295E-005, 0.0014030933,-0.0069642067,
 2.23452E-005, 0.0014054775,-0.0070130825,
 2.24610E-005, 0.0013852119,-0.0069677830,
 2.25768E-005, 0.0014126301,-0.0070559978,
 2.26926E-005, 0.0013899803,-0.0070178509,
 2.28083E-005, 0.0013649464,-0.0069129467,
 2.29241E-005, 0.0013840199,-0.0069069862,
 2.30399E-005, 0.0013899803,-0.0068366528,
 2.31557E-005, 0.0013697147,-0.0067830086,
 2.32715E-005, 0.0013434887,-0.0067937374,
 2.33872E-005, 0.0013744831,-0.0068807602,
 2.35030E-005, 0.0013947487,-0.0069093704,
 2.36188E-005, 0.0013685226,-0.0068211555,
 2.37346E-005, 0.0013768673,-0.0068855286,
 2.38504E-005, 0.0013887882,-0.0069093704,
 2.39661E-005, 0.0013959408,-0.0069570541,
 2.40819E-005, 0.0013947487,-0.0069248676,
 2.41977E-005, 0.0013542175,-0.0067281723,
 2.43135E-005, 0.0013577938,-0.0067925453,
 2.44292E-005, 0.0013887882,-0.0068593025,
 2.45450E-005, 0.0013768673,-0.0067853928,
 2.46608E-005, 0.0013482571,-0.0067317486,
 2.47766E-005, 0.0013351440,-0.0067675114,
 2.48924E-005, 0.0013387203,-0.0067996979,
 2.50081E-005, 0.0013518333,-0.0068235397,
 2.51239E-005, 0.0013637543,-0.0068747997,
 2.52397E-005, 0.0013613701,-0.0069034100,
 2.53555E-005, 0.0013470650,-0.0068366528,
 2.54713E-005, 0.0013577938,-0.0068104267,
 2.55870E-005, 0.0013923645,-0.0069022179,
 2.57028E-005, 0.0013816357,-0.0068318844,
