QuickDAQ Data
2018/12/28 15:10:00
Notes:,,
Sample Rate:,99.96746, Hz,
Measurement Type,Time Waveform,Time Waveform,
Channel Name,169.254.226.173.AD.1,169.254.226.173.AD.2,
X Axis Units,Sec,Sec,
Y Axis Units,V,V,
Time,Real,Real,
 0.00000E+000,-0.0242412090, 0.3532636166,
 1.15778E-007,-0.0242686272, 0.3537881374,
 2.31557E-007,-0.0241899490, 0.3526461124,
 3.47335E-007,-0.0241708755, 0.3527045250,
 4.63114E-007,-0.0241863728, 0.3531718254,
 5.78892E-007,-0.0241637230, 0.3529143333,
 6.94670E-007,-0.0241672993, 0.3532135487,
 8.10449E-007,-0.0241482258, 0.3531062603,
 9.26227E-007,-0.0241100788, 0.3524184227,
 1.04201E-006,-0.0241482258, 0.3528094292,
 1.15778E-006,-0.0241208076, 0.3526186943,
 1.27356E-006,-0.0240862370, 0.3524577618,
 1.38934E-006,-0.0241410732, 0.3531336784,
 1.50512E-006,-0.0241553783, 0.3529131413,
 1.62090E-006,-0.0241231918, 0.3521358967,
 1.73668E-006,-0.0241065025, 0.3519356251,
 1.85245E-006,-0.0241386890, 0.3523170948,
 1.96823E-006,-0.0241267681, 0.3521072865,
 2.08401E-006,-0.0241291523, 0.3520846367,
 2.19979E-006,-0.0241410732, 0.3520274162,
 2.31557E-006,-0.0240802765, 0.3509485722,
 2.43135E-006,-0.0240933895, 0.3508520126,
 2.54713E-006,-0.0242543221, 0.3530585766,
 2.66290E-006,-0.0242793560, 0.3533613682,
 2.77868E-006,-0.0241863728, 0.3520703316,
 2.89446E-006,-0.0242042542, 0.3523254395,
 3.01024E-006,-0.0241935253, 0.3518283367,
 3.12602E-006,-0.0242006779, 0.3518331051,
 3.24180E-006,-0.0241875648, 0.3517091274,
 3.35757E-006,-0.0241541862, 0.3512132168,
 3.47335E-006,-0.0242149830, 0.3519809246,
 3.58913E-006,-0.0241935253, 0.3515601158,
 3.70491E-006,-0.0242066383, 0.3517246246,
 3.82069E-006,-0.0242650509, 0.3526258469,
 3.93647E-006,-0.0242602825, 0.3526341915,
 4.05224E-006,-0.0242447853, 0.3525066376,
 4.16802E-006,-0.0241959095, 0.3519809246,
 4.28380E-006,-0.0243258476, 0.3544723988,
 4.39958E-006,-0.0243437290, 0.3553617001,
 4.51536E-006,-0.0222384930, 0.3242206573,
 4.63114E-006,-0.0207030773, 0.3008341789,
 4.74691E-006,-0.0208628178, 0.3023350239,
 4.86269E-006,-0.0206530094, 0.2979421616,
 4.97847E-006,-0.0206696987, 0.2968406677,
 5.09425E-006,-0.0207293034, 0.2965140343,
 5.21003E-006,-0.0208091736, 0.2963113785,
 5.32581E-006,-0.0208914280, 0.2964174747,
 5.44159E-006,-0.0210034847, 0.2967000008,
 5.55736E-006,-0.0210630894, 0.2962934971,
 5.67314E-006,-0.0210785866, 0.2959597111,
 5.78892E-006,-0.0210428238, 0.2949309349,
 5.90470E-006,-0.0210583210, 0.2942848206,
 6.02048E-006,-0.0211679935, 0.2948451042,
 6.13626E-006,-0.0212693214, 0.2956593037,
 6.25203E-006,-0.0213146210, 0.2956080437,
 6.36781E-006,-0.0213646889, 0.2953243256,
 6.48359E-006,-0.0213766098, 0.2950286865,
 6.59937E-006,-0.0213885307, 0.2946674824,
 6.71515E-006,-0.0215280056, 0.2959048748,
 6.83093E-006,-0.0215947628, 0.2964031696,
 6.94670E-006,-0.0215363503, 0.2948498726,
 7.06248E-006,-0.0215315819, 0.2939331532,
 7.17826E-006,-0.0215971470, 0.2941310406,
 7.29404E-006,-0.0217127800, 0.2952516079,
 7.40982E-006,-0.0217926502, 0.2959561348,
 7.52560E-006,-0.0217866898, 0.2956795692,
 7.64138E-006,-0.0218319893, 0.2957773209,
 7.75715E-006,-0.0219285488, 0.2963793278,
 7.87293E-006,-0.0219321251, 0.2961885929,
 7.98871E-006,-0.0218701363, 0.2951741219,
 8.10449E-006,-0.0218737125, 0.2948307991,
 8.22027E-006,-0.0219595432, 0.2954602242,
 8.33605E-006,-0.0219571590, 0.2950143814,
 8.45182E-006,-0.0219309330, 0.2943384647,
 8.56760E-006,-0.0219821930, 0.2947175503,
 8.68338E-006,-0.0220334530, 0.2953422070,
 8.79916E-006,-0.0220620632, 0.2957296371,
 8.91494E-006,-0.0220489502, 0.2954316139,
 9.03072E-006,-0.0220584869, 0.2954638004,
 9.14649E-006,-0.0221037865, 0.2961766720,
 9.26227E-006,-0.0221121311, 0.2963638306,
 9.37805E-006,-0.0221204758, 0.2963256836,
 9.49383E-006,-0.0220942497, 0.2961325645,
 9.60961E-006,-0.0220572948, 0.2957117558,
 9.72539E-006,-0.0220763683, 0.2961170673,
 9.84117E-006,-0.0220572948, 0.2960979939,
 9.95694E-006,-0.0221860409, 0.2975475788,
 1.00727E-005,-0.0222098827, 0.2978026867,
 1.01885E-005,-0.0221407413, 0.2966403961,
 1.03043E-005,-0.0221848488, 0.2969872952,
 1.04201E-005,-0.0221371651, 0.2964985371,
 1.05358E-005,-0.0220859051, 0.2956414223,
 1.06516E-005,-0.0221240520, 0.2958333492,
 1.07674E-005,-0.0221621990, 0.2963733673,
 1.08832E-005,-0.0221037865, 0.2954411507,
 1.09989E-005,-0.0221157074, 0.2955067158,
 1.11147E-005,-0.0221765041, 0.2964603901,
 1.12305E-005,-0.0220620632, 0.2946972847,
 1.13463E-005,-0.0220835209, 0.2946519852,
 1.14621E-005,-0.0221264362, 0.2952003479,
 1.15778E-005,-0.0220310688, 0.2940022945,
 1.16936E-005,-0.0220751762, 0.2944982052,
 1.18094E-005,-0.0221908092, 0.2960276604,
 1.19252E-005,-0.0221788883, 0.2958226204,
 1.20410E-005,-0.0220739841, 0.2944338322,
 1.21567E-005,-0.0220763683, 0.2945721149,
 1.22725E-005,-0.0221967697, 0.2961039543,
 1.23883E-005,-0.0222313404, 0.2962243557,
 1.25041E-005,-0.0221967697, 0.2957224846,
 1.26198E-005,-0.0221490860, 0.2953386307,
 1.27356E-005,-0.0220835209, 0.2941763401,
 1.28514E-005,-0.0220930576, 0.2938616276,
 1.29672E-005,-0.0221598148, 0.2948582172,
 1.30830E-005,-0.0221276283, 0.2944552898,
 1.31987E-005,-0.0221395493, 0.2942669392,
 1.33145E-005,-0.0221717358, 0.2946496010,
 1.34303E-005,-0.0221824646, 0.2949368954,
 1.35461E-005,-0.0222432613, 0.2957785130,
 1.36619E-005,-0.0222587585, 0.2959787846,
 1.37776E-005,-0.0222659111, 0.2961444855,
 1.38934E-005,-0.0222539902, 0.2960753441,
 1.40092E-005,-0.0222265720, 0.2955663204,
 1.41250E-005,-0.0221598148, 0.2945208549,
 1.42407E-005,-0.0221860409, 0.2947020531,
 1.43565E-005,-0.0222742558, 0.2959311008,
 1.44723E-005,-0.0223207474, 0.2964437008,
 1.45881E-005,-0.0223147869, 0.2959346771,
 1.47039E-005,-0.0222718716, 0.2955079079,
 1.48196E-005,-0.0222086906, 0.2948451042,
 1.49354E-005,-0.0222122669, 0.2946448326,
 1.50512E-005,-0.0222992897, 0.2956426144,
 1.51670E-005,-0.0222527981, 0.2952623367,
 1.52828E-005,-0.0222742558, 0.2956628799,
 1.53985E-005,-0.0223147869, 0.2960920334,
 1.55143E-005,-0.0222516060, 0.2953338623,
 1.56301E-005,-0.0222337246, 0.2952706814,
 1.57459E-005,-0.0222635269, 0.2957701683,
 1.58616E-005,-0.0222539902, 0.2955126762,
 1.59774E-005,-0.0221908092, 0.2947008610,
 1.60932E-005,-0.0222015381, 0.2949082851,
 1.62090E-005,-0.0222098827, 0.2951407433,
 1.63248E-005,-0.0222241879, 0.2956044674,
 1.64405E-005,-0.0222182274, 0.2957665920,
 1.65563E-005, 0.1232898235,-3.0196094513,
 1.66721E-005, 0.2095055580,-6.5039491653,
 1.67879E-005, 0.1353490353,-6.6809177399,
 1.69036E-005, 0.1137804985,-6.6907014847,
 1.70194E-005, 0.1020848751,-6.6952381134,
 1.71352E-005, 0.0926566124,-6.6974139214,
 1.72510E-005, 0.0840210915,-6.6986694336,
 1.73668E-005, 0.0763750076,-6.6994438171,
 1.74825E-005, 0.0696825981,-6.6985273361,
 1.75983E-005, 0.0640225410,-6.6959834099,
 1.77141E-005, 0.0592923164,-6.6928949356,
 1.78299E-005, 0.0553119183,-6.6911325455,
 1.79457E-005, 0.0520074368,-6.6885528564,
 1.80614E-005, 0.0492072105,-6.6848230362,
 1.81772E-005, 0.0467777252,-6.6835093498,
 1.82930E-005, 0.0446474552,-6.6816844940,
 1.84088E-005, 0.0427865982,-6.6793179512,
 1.85245E-005, 0.0411701202,-6.6774249077,
 1.86403E-005, 0.0397312641,-6.6736707687,
 1.87561E-005, 0.0384521484,-6.6713848114,
 1.88719E-005, 0.0372850895,-6.6698431969,
 1.89877E-005, 0.0362396240,-6.6680488586,
 1.91034E-005, 0.0352716446,-6.6657519341,
 1.92192E-005, 0.0343310833,-6.6624498367,
 1.93350E-005, 0.0334930420,-6.6600217819,
 1.94508E-005, 0.0327694416,-6.6577281952,
 1.95666E-005, 0.0321578979,-6.6565752029,
 1.96823E-005, 0.0315999985,-6.6543760300,
 1.97981E-005, 0.0310468674,-6.6519823074,
 1.99139E-005, 0.0305545330,-6.6507101059,
 2.00297E-005, 0.0301396847,-6.6486597061,
 2.01454E-005, 0.0297379494,-6.6468286514,
 2.02612E-005, 0.0293290615,-6.6448345184,
 2.03770E-005, 0.0289440155,-6.6410961151,
 2.04928E-005, 0.0285768509,-6.6378440857,
 2.06086E-005, 0.0282621384,-6.6353693008,
 2.07243E-005, 0.0279748440,-6.6313457489,
 2.08401E-005, 0.0277256966,-6.6253972054,
 2.09559E-005, 0.0275707245,-6.6149940491,
 2.10717E-005, 0.0274002552,-6.6054630280,
 2.11874E-005, 0.0271797180,-6.6073846817,
 2.13032E-005, 0.0269794464,-6.6142153740,
 2.14190E-005, 0.0267875195,-6.6167712212,
 2.15348E-005, 0.0266492367,-6.6199197769,
 2.16506E-005, 0.0265276432,-6.6239032745,
 2.17663E-005, 0.0263714790,-6.6257562637,
 2.18821E-005, 0.0262248516,-6.6269612312,
 2.19979E-005, 0.0261247158,-6.6261315346,
 2.21137E-005, 0.0261843204,-6.6235494614,
 2.22295E-005, 0.0262010098,-6.6223659515,
 2.23452E-005, 0.0260555744,-6.6211977005,
 2.24610E-005, 0.0258994102,-6.6213121414,
 2.25768E-005, 0.0257670879,-6.6225490570,
 2.26926E-005, 0.0257432461,-6.6204977036,
 2.28083E-005, 0.0257217884,-6.6183462143,
 2.29241E-005, 0.0256645679,-6.6157875061,
 2.30399E-005, 0.0258219242,-6.6128101349,
 2.31557E-005, 0.0260746479,-6.6141057014,
 2.32715E-005, 0.0261807442,-6.6141214371,
 2.33872E-005, 0.0261974335,-6.6113305092,
 2.35030E-005, 0.0262856483,-6.6089429855,
 2.36188E-005, 0.0263834000,-6.6063203812,
 2.37346E-005, 0.0263738632,-6.6056356430,
 2.38504E-005, 0.0263071060,-6.6060876846,
 2.39661E-005, 0.0255858898,-6.6072998047,
 2.40819E-005, 0.0246798992,-6.6064023972,
 2.41977E-005, 0.0244522095,-6.6033067703,
 2.43135E-005, 0.0244224072,-6.6025552750,
 2.44292E-005, 0.0242853165,-6.5977811813,
 2.45450E-005, 0.0241184235,-6.5688571930,
 2.46608E-005, 0.0240862370,-6.5581789017,
 2.47766E-005, 0.0241351128,-6.5741467476,
 2.48924E-005, 0.0246226788,-6.5766296387,
 2.50081E-005, 0.0254762173,-6.5770854950,
 2.51239E-005, 0.0264370441,-6.5770220757,
 2.52397E-005, 0.0263357162,-6.5738463402,
 2.53555E-005, 0.0260627270,-6.5696525574,
 2.54713E-005, 0.0271070004,-6.5671577454,
 2.55870E-005, 0.0283920765,-6.5666627884,
 2.57028E-005, 0.0289380550,-6.5654983521,
