QuickDAQ Data
2018/12/28 14:42:37
Notes:,,
Sample Rate:,99.96746, Hz,
Measurement Type,Time Waveform,Time Waveform,
Channel Name,169.254.226.173.AD.1,169.254.226.173.AD.2,
X Axis Units,Sec,Sec,
Y Axis Units,V,V,
Time,Real,Real,
 0.00000E+000, 4.68493E-004,-0.0049221516,
 1.15778E-007, 4.80413E-004,-0.0049555302,
 2.31557E-007, 4.73261E-004,-0.0049448013,
 3.47335E-007, 4.81606E-004,-0.0050306320,
 4.63114E-007, 4.98295E-004,-0.0051629543,
 5.78892E-007, 4.95911E-004,-0.0050866604,
 6.94670E-007, 4.88758E-004,-0.0050222874,
 8.10449E-007, 4.75645E-004,-0.0049543381,
 9.26227E-007, 4.60148E-004,-0.0048255920,
 1.04201E-006, 4.55379E-004,-0.0047612190,
 1.15778E-006, 4.75645E-004,-0.0048577785,
 1.27356E-006, 4.99487E-004,-0.0049793720,
 1.38934E-006, 4.81606E-004,-0.0049948692,
 1.50512E-006, 4.70877E-004,-0.0049638748,
 1.62090E-006, 4.88758E-004,-0.0049388409,
 1.73668E-006, 4.76837E-004,-0.0049173832,
 1.85245E-006, 4.73261E-004,-0.0048792362,
 1.96823E-006, 4.88758E-004,-0.0049376488,
 2.08401E-006, 4.91142E-004,-0.0051259995,
 2.19979E-006, 4.79221E-004,-0.0051033497,
 2.31557E-006, 4.74453E-004,-0.0050115585,
 2.43135E-006, 4.79221E-004,-0.0050234795,
 2.54713E-006, 4.82798E-004,-0.0049662590,
 2.66290E-006, 4.89950E-004,-0.0049602985,
 2.77868E-006, 4.78029E-004,-0.0049972534,
 2.89446E-006, 4.79221E-004,-0.0049865246,
 3.01024E-006, 4.94719E-004,-0.0049841404,
 3.12602E-006, 4.93526E-004,-0.0050675869,
 3.24180E-006, 4.73261E-004,-0.0050985813,
 3.35757E-006, 4.76837E-004,-0.0050604343,
 3.47335E-006, 4.80413E-004,-0.0049769878,
 3.58913E-006, 4.78029E-004,-0.0049269199,
 3.70491E-006, 4.76837E-004,-0.0050115585,
 3.82069E-006, 4.81606E-004,-0.0050699711,
 3.93647E-006, 4.95911E-004,-0.0051093102,
 4.05224E-006, 4.93526E-004,-0.0050985813,
 4.16802E-006, 4.75645E-004,-0.0050354004,
 4.28380E-006, 4.82798E-004,-0.0051164627,
 4.39958E-006, 4.95911E-004,-0.0051605701,
 4.51536E-006, 5.01871E-004,-0.0052022934,
 4.63114E-006, 5.07832E-004,-0.0052201748,
 4.74691E-006, 4.95911E-004,-0.0051379204,
 4.86269E-006, 4.98295E-004,-0.0051999092,
 4.97847E-006, 5.04255E-004,-0.0052261353,
 5.09425E-006, 4.91142E-004,-0.0051283836,
 5.21003E-006, 4.97103E-004,-0.0051093102,
 5.32581E-006, 5.06639E-004,-0.0051307678,
 5.44159E-006, 5.10216E-004,-0.0051653385,
 5.55736E-006, 5.06639E-004,-0.0052642822,
 5.67314E-006, 4.94719E-004,-0.0052416325,
 5.78892E-006, 4.91142E-004,-0.0051105022,
 5.90470E-006, 4.85182E-004,-0.0049531460,
 6.02048E-006, 4.75645E-004,-0.0049149990,
 6.13626E-006, 4.58956E-004,-0.0048458576,
 6.25203E-006, 4.57764E-004,-0.0047659874,
 6.36781E-006, 4.72069E-004,-0.0049090385,
 6.48359E-006, 4.73261E-004,-0.0049793720,
 6.59937E-006, 4.67300E-004,-0.0049138069,
 6.71515E-006, 4.80413E-004,-0.0048446655,
 6.83093E-006, 4.73261E-004,-0.0047671795,
 6.94670E-006, 4.63724E-004,-0.0047850609,
 7.06248E-006, 4.80413E-004,-0.0049316883,
 7.17826E-006, 4.78029E-004,-0.0049221516,
 7.29404E-006, 4.57764E-004,-0.0048828125,
 7.40982E-006, 4.57764E-004,-0.0048172474,
 7.52560E-006, 4.60148E-004,-0.0047564507,
 7.64138E-006, 4.67300E-004,-0.0048482418,
 7.75715E-006, 4.69685E-004,-0.0048089027,
 7.87293E-006, 4.66108E-004,-0.0047874451,
 7.98871E-006, 4.73261E-004,-0.0049340725,
 8.10449E-006, 4.70877E-004,-0.0050127506,
 8.22027E-006, 4.67300E-004,-0.0049960613,
 8.33605E-006, 4.72069E-004,-0.0050115585,
 8.45182E-006, 4.79221E-004,-0.0049340725,
 8.56760E-006, 4.82798E-004,-0.0048196316,
 8.68338E-006, 4.82798E-004,-0.0048017502,
 8.79916E-006, 4.91142E-004,-0.0048983097,
 8.91494E-006, 4.78029E-004,-0.0048923492,
 9.03072E-006, 4.57764E-004,-0.0048530102,
 9.14649E-006, 4.62532E-004,-0.0049936771,
 9.26227E-006, 4.81606E-004,-0.0050473213,
 9.37805E-006, 0.0014281273,-0.0152099133,
 9.49383E-006, 0.0024318695,-0.0260102749,
 9.60961E-006, 0.0024950504,-0.0266671181,
 9.72539E-006, 0.0025081635,-0.0267434120,
 9.84117E-006, 0.0024914742,-0.0266957283,
 9.95694E-006, 0.0024652481,-0.0265276432,
 1.00727E-005, 0.0024724007,-0.0265634060,
 1.01885E-005, 0.0024926662,-0.0266206264,
 1.03043E-005, 0.0024950504,-0.0265431404,
 1.04201E-005, 0.0024867058,-0.0265455246,
 1.05358E-005, 0.0024867058,-0.0265371799,
 1.06516E-005, 0.0024986267,-0.0266563892,
 1.07674E-005, 0.0025057793,-0.0267708302,
 1.08832E-005, 0.0024914742,-0.0266373158,
 1.09989E-005, 0.0024712086,-0.0265049934,
 1.11147E-005, 0.0024569035,-0.0265288353,
 1.12305E-005, 0.0024950504,-0.0267159939,
 1.13463E-005, 0.0025177002,-0.0267708302,
 1.14621E-005, 0.0024914742,-0.0266313553,
 1.15778E-005, 0.0024724007,-0.0265967846,
 1.16936E-005, 0.0024795532,-0.0266861916,
 1.18094E-005, 0.0024974346,-0.0267302990,
 1.19252E-005, 0.0024807453,-0.0266814232,
 1.20410E-005, 0.0024735928,-0.0266683102,
 1.21567E-005, 0.0024986267,-0.0267720222,
 1.22725E-005, 0.0024974346,-0.0266480446,
 1.23883E-005, 0.0024926662,-0.0265264511,
 1.25041E-005, 0.0025081635,-0.0267279148,
 1.26198E-005, 0.0024986267,-0.0267434120,
 1.27356E-005, 0.0024867058,-0.0266611576,
 1.28514E-005, 0.0024962425,-0.0267052650,
 1.29672E-005, 0.0025010109,-0.0267779827,
 1.30830E-005, 0.0024819374,-0.0266826153,
 1.31987E-005, 0.0024735928,-0.0266230106,
 1.33145E-005, 0.0025057793,-0.0268220901,
 1.34303E-005, 0.0025296211,-0.0269114971,
 1.35461E-005, 0.0025188923,-0.0268149376,
 1.36619E-005, 0.0024986267,-0.0267541409,
 1.37776E-005, 0.0024986267,-0.0267624855,
 1.38934E-005, 0.0025069714,-0.0266766548,
 1.40092E-005, 0.0025022030,-0.0265669823,
 1.41250E-005, 0.0024914742,-0.0265717506,
 1.42407E-005, 0.0024795532,-0.0266766548,
 1.43565E-005, 0.0024783611,-0.0267136097,
 1.44723E-005, 0.0024926662,-0.0266766548,
 1.45881E-005, 0.0024986267,-0.0266003609,
 1.47039E-005, 0.0025033951,-0.0266504288,
 1.48196E-005, 0.0025105476,-0.0266933441,
 1.49354E-005, 0.0024890900,-0.0265073776,
 1.50512E-005, 0.0024557114,-0.0264585018,
 1.51670E-005, 0.0024688244,-0.0266492367,
 1.52828E-005, 0.0025081635,-0.0267815590,
 1.53985E-005, 0.0025057793,-0.0267374516,
 1.55143E-005, 0.0024843216,-0.0266981125,
 1.56301E-005, 0.0024831295,-0.0265610218,
 1.57459E-005, 0.0024843216,-0.0265693665,
 1.58616E-005, 0.0024771690,-0.0266718864,
 1.59774E-005, 0.0024700165,-0.0266838074,
 1.60932E-005, 0.0024747849,-0.0267350674,
 1.62090E-005, 0.0024974346,-0.0267553329,
 1.63248E-005, 0.0025022030,-0.0268042088,
 1.64405E-005, 0.0024867058,-0.0267231464,
 1.65563E-005, 0.0024843216,-0.0266337395,
 1.66721E-005, 0.0025010109,-0.0266385078,
 1.67879E-005, 0.0024986267,-0.0266218185,
 1.69036E-005, 0.0024962425,-0.0267302990,
 1.70194E-005, 0.0024926662,-0.0267207623,
 1.71352E-005, 0.0025010109,-0.0267791748,
 1.72510E-005, 0.0025045872,-0.0268590450,
 1.73668E-005, 0.0024771690,-0.0267052650,
 1.74825E-005, 0.0024867058,-0.0266849995,
 1.75983E-005, 0.0024998188,-0.0266826153,
 1.77141E-005, 0.0024962425,-0.0266528130,
 1.78299E-005, 0.0024986267,-0.0267636776,
 1.79457E-005, 0.0024831295,-0.0267148018,
 1.80614E-005, 0.0024986267,-0.0268805027,
 1.81772E-005, 0.0025117397,-0.0270318985,
 1.82930E-005, 0.0024962425,-0.0267887115,
 1.84088E-005, 0.0024843216,-0.0266695023,
 1.85245E-005, 0.0024795532,-0.0265896320,
 1.86403E-005, 0.0024950504,-0.0267076492,
 1.87561E-005, 0.0024998188,-0.0268924236,
 1.88719E-005, 0.0025105476,-0.0268661976,
 1.89877E-005, 0.0025212765,-0.0268244743,
 1.91034E-005, 0.0025224686,-0.0268137455,
 1.92192E-005, 0.0025057793,-0.0267481804,
 1.93350E-005, 0.0024890900,-0.0267601013,
 1.94508E-005, 0.0024974346,-0.0268578529,
 1.95666E-005, 0.0025022030,-0.0267755985,
 1.96823E-005, 0.0025153160,-0.0268518925,
 1.97981E-005, 0.0025010109,-0.0268352032,
 1.99139E-005, 0.0025033951,-0.0268697739,
 2.00297E-005, 0.0025033951,-0.0269150734,
 2.01454E-005, 0.0024843216,-0.0268387794,
 2.02612E-005, 0.0024986267,-0.0268661976,
 2.03770E-005, 0.0025224686,-0.0268399715,
 2.04928E-005, 0.0025248528,-0.0268030167,
 2.06086E-005, 0.0025069714,-0.0266897678,
 2.07243E-005, 0.0024974346,-0.0266408920,
 2.08401E-005, 0.0025165081,-0.0268399715,
 2.09559E-005, 0.0025165081,-0.0268959999,
 2.10717E-005, 0.0024867058,-0.0267422199,
 2.11874E-005, 0.0043475628,-0.0472986698,
 2.13032E-005, 0.0454044342,-0.6228828430,
 2.14190E-005, 0.0760686398,-1.1945497990,
 2.15348E-005, 0.0625669956,-1.2207055092,
 2.16506E-005, 0.0543630123,-1.2367653847,
 2.17663E-005, 0.0488483906,-1.2480032444,
 2.18821E-005, 0.0448560715,-1.2564170361,
 2.19979E-005, 0.0418508053,-1.2636268139,
 2.21137E-005, 0.0394821167,-1.2696003914,
 2.22295E-005, 0.0375425816,-1.2741243839,
 2.23452E-005, 0.0359570980,-1.2784314156,
 2.24610E-005, 0.0346088409,-1.2825214863,
 2.25768E-005, 0.0334167480,-1.2854504585,
 2.26926E-005, 0.0323855877,-1.2873983383,
 2.28083E-005, 0.0315225124,-1.2891793251,
 2.29241E-005, 0.0307500362,-1.2910974026,
 2.30399E-005, 0.0300407410,-1.2926065922,
 2.31557E-005, 0.0294208527,-1.2938034534,
 2.32715E-005, 0.0288593769,-1.2949156761,
 2.33872E-005, 0.0283551216,-1.2960457802,
 2.35030E-005, 0.0278937817,-1.2969601154,
 2.36188E-005, 0.0274753571,-1.2978625298,
 2.37346E-005, 0.0270867348,-1.2987923622,
 2.38504E-005, 0.0267219543,-1.2996172905,
 2.39661E-005, 0.0264108181,-1.3004016876,
 2.40819E-005, 0.0261497498,-1.3010406494,
 2.41977E-005, 0.0259029865,-1.3016068935,
 2.43135E-005, 0.0256407261,-1.3023400307,
 2.44292E-005, 0.0254046917,-1.3030862808,
 2.45450E-005, 0.0252079964,-1.3036656380,
 2.46608E-005, 0.0250244141,-1.3041961193,
 2.47766E-005, 0.0248539448,-1.3047885895,
 2.48924E-005, 0.0247335434,-1.3069748878,
 2.50081E-005, 0.0246465206,-1.3102400303,
 2.51239E-005, 0.0245106220,-1.3121855259,
 2.52397E-005, 0.0243568420,-1.3129341602,
 2.53555E-005, 0.0242292881,-1.3132941723,
