LabVIEW Measurement,,,,,,,,
Writer_Version,2,,,,,,,
Reader_Version,2,,,,,,,
Separator,Comma,,,,,,,
Decimal_Separator,.,,,,,,,
Multi_Headings,No,,,,,,,
X_Columns,One,,,,,,,
Time_Pref,Absolute,,,,,,,
Operator,Kagawa-unit,,,,,,,
Date,2019/4/10,,,,,,,
Time,25:28.7,,,,,,,
***End_of_Header***,,,,,,,,
,,,,,,,,
Channels,6,,,,,,,
Samples,1,1,1,1,1,,1,
Date,2019/4/10,2019/4/10,2019/4/10,2019/4/10,2019/4/10,,2019/4/10,
Time,25:28.7,25:32.5,25:29.8,25:28.9,25:29.9,,25:29.8,
X_Dimension,Time,Time,Time,Time,Time,,Time,
X0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,
Delta_X,1,1,1,1,1,,1,
***End_of_Header***,,,,,,,,
X_Value,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,,Untitled 5,Comment
0,-0.5,0,-4.901807,8.76E-06,-5.54E-05,-5.54E+01,-559771.5271,
3.82143,-0.5,0,-4.803926,-0.000111,-5.35E-05,-5.35E+01,43354.33289,
7.724247,-0.5,0,-4.705962,-0.000122,-5.51E-05,-5.51E+01,38525.37746,
15.673308,-0.5,0,-4.608051,-0.000134,-5.66E-05,-5.66E+01,34315.7272,
21.267185,-0.5,42,-4.510056,-0.00014,-5.62E-05,-5.62E+01,32314.06269,
25.112038,-0.5,0,-4.412103,-0.000142,-5.55E-05,-5.55E+01,31098.15927,
30.121411,-0.5,0,-4.314144,-0.000145,-5.49E-05,-5.49E+01,29694.69405,
33.90036,-0.5,-0.026,-4.216189,-0.000148,-5.42E-05,-5.42E+01,28465.32723,
37.71138,-0.5,-0.499147,-4.118202,-0.000151,-5.33E-05,-5.33E+01,27258.89875,
41.504941,-0.5,-0.499147,-4.019869,-0.000154,-5.23E-05,-5.23E+01,26122.38493,
45.315061,-0.5,-0.499147,-3.921877,-0.000156,-5.11E-05,-5.11E+01,25077.64811,
49.095576,-0.5,-0.499147,-3.823877,-0.000158,-4.98E-05,-4.98E+01,24220.66171,
52.891661,-0.5,-0.499147,-3.725845,-0.00016,-4.84E-05,-4.84E+01,23231.6471,
56.688593,-0.5,-0.499147,-3.627859,-0.000162,-4.71E-05,-4.71E+01,22370.25682,
60.496082,-0.5,-0.499147,-3.529854,-0.000165,-4.57E-05,-4.57E+01,21455.03757,
64.312198,-0.5,-0.499147,-3.431924,-0.000166,-4.41E-05,-4.41E+01,20638.10132,
68.10185,-0.5,-0.499147,-3.333922,-0.000169,-4.27E-05,-4.27E+01,19769.77648,
71.925045,-0.5,-0.499147,-3.235915,-0.00017,-4.11E-05,-4.11E+01,19011.68156,
75.718772,-0.5,-0.499147,-3.137923,-0.000173,-3.95E-05,-3.95E+01,18188.3991,
79.517313,-0.5,-0.499147,-3.039875,-0.000175,-3.77E-05,-3.77E+01,17403.00254,
83.324596,-0.5,-0.499147,-2.941877,-0.000176,-3.59E-05,-3.59E+01,16669.36883,
87.115584,-0.5,-0.499147,-2.843874,-0.000178,-3.41E-05,-3.41E+01,16000.67129,
90.928751,-0.5,-0.499147,-2.745502,-0.00018,-3.22E-05,-3.22E+01,15268.79149,
94.750824,-0.5,-0.499147,-2.64718,-0.000181,-3.03E-05,-3.03E+01,14593.75171,
98.55691,-0.5,-0.499147,-2.548532,-0.000184,-2.85E-05,-2.85E+01,13880.1851,
102.365505,-0.5,-0.499147,-2.450223,-0.000186,-2.65E-05,-2.65E+01,13207.5625,
106.17564,-0.5,-0.499147,-2.351515,-0.000187,-2.45E-05,-2.45E+01,12605.23533,
109.988137,-0.5,-0.499147,-2.2532,-0.000188,-2.26E-05,-2.26E+01,11972.3277,
113.781418,-0.5,-0.499147,-2.154561,-0.00019,-2.06E-05,-2.06E+01,11355.01215,
117.599417,-0.5,-0.499147,-2.054591,-0.000191,-1.86E-05,-1.86E+01,10730.16961,
121.399134,-0.5,-0.499147,-1.954626,-0.000193,-1.66E-05,-1.66E+01,10122.70103,
125.199146,-0.5,-0.499147,-1.854731,-0.000194,-1.47E-05,-1.47E+01,9555.840579,
128.99766,-0.5,-0.499147,-1.754823,-0.000196,-1.29E-05,-1.29E+01,8970.970221,
132.805792,-0.5,-0.499147,-1.654888,-0.000197,-1.11E-05,-1.11E+01,8405.454377,
136.594879,-0.5,-0.499147,-1.555103,-0.000198,-9.48E-06,-9.48E+00,7863.030851,
140.38938,-0.5,-0.499147,-1.455288,-0.000198,-7.99E-06,-7.99E+00,7336.034509,
144.181131,-0.5,-0.499147,-1.355509,-0.000199,-6.67E-06,-6.67E+00,6798.303296,
147.990134,-0.5,-0.499147,-1.25573,-0.000199,-5.49E-06,-5.49E+00,6297.329859,
