300K to 150K,5K/min,,,,,,100K to 380K,5K/min,,,,,,380K to 300K,5K/min,,,,,,300K to 100K,14K/min,,,,,,100K to 300K,15K/min,,,,
Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms)
,,,,,,,14583219.7,293.038147,0.014995359,9.989999771,2.65E-05,14.99535885,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583243.91,295.0278625,0.015118968,9.989999771,3.31E-05,15.11896824,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583267.56,297.0287018,0.01531725,9.989999771,1.68E-05,15.31725048,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583290.41,298.9116516,0.015453255,9.989999771,2.80E-05,15.45325485,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583314.89,300.950592,0.015688155,9.989999771,1.30E-05,15.68815475,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583338.83,302.9726563,0.015898975,9.989999771,1.60E-05,15.89897514,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583363.13,304.9862366,0.016071926,9.989999771,1.70E-05,16.07192604,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583387.08,306.9744568,0.016249235,9.989999771,1.33E-05,16.24923454,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583410.03,308.8770599,0.016382423,9.989999771,2.10E-05,16.3824234,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583433.55,310.8774109,0.016629968,9.989999771,9.93E-06,16.62996834,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583458.27,312.8994141,0.016741105,9.989999771,1.59E-05,16.74110512,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583482.27,314.8742981,0.016964765,9.989999771,1.57E-05,16.96476486,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583506.08,316.9230042,0.017159399,9.989999771,1.55E-05,17.15939888,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583530.19,318.9267426,0.017254874,9.989999771,5.74E-05,17.25487442,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583553.09,320.8157501,0.017439967,9.989999771,3.17E-05,17.43996719,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583577.34,322.8140411,0.017587785,9.989999771,8.18E-06,17.58778458,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583601.39,324.8108978,0.017896012,9.989999771,9.13E-06,17.89601242,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583625.38,326.8143463,0.018082092,9.989999771,1.95E-05,18.0820916,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583648.17,328.7273102,0.018272869,9.989999771,1.30E-05,18.27286865,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583673.88,330.8345947,0.018348496,9.989999771,1.93E-05,18.34849625,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583720.34,334.7254486,0.018833236,9.989999771,1.52E-05,18.83323578,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583744.36,336.7351074,0.018973437,9.989999771,1.91E-05,18.97343651,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583768.28,338.734848,0.019196219,9.989999771,2.91E-05,19.19621864,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583792.36,340.7373047,0.019463218,9.989999771,2.22E-05,19.463218,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583815.47,342.6510925,0.019737148,9.989999771,3.07E-05,19.73714783,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583839.38,344.6793518,0.020060475,9.989999771,4.39E-05,20.06047523,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583863.69,346.6734009,0.020343868,9.989999771,1.75E-05,20.34386818,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583886.72,348.5909424,0.020577487,9.989999771,2.07E-05,20.57748665,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583911.09,350.6262054,0.020845483,9.989999771,2.23E-05,20.84548279,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583935.08,352.6492004,0.021137556,9.989999771,1.86E-05,21.137556,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583959.39,354.6065521,0.021406381,9.989999771,2.20E-05,21.406381,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14583982.16,356.5842438,0.021674329,9.989999771,2.90E-05,21.67432854,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14584006.66,358.5708008,0.021995011,9.989999771,2.33E-05,21.99501114,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14584030.55,360.582901,0.022263638,9.989999771,2.55E-05,22.26363762,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14584053.91,362.5377502,0.02255351,9.989999771,2.06E-05,22.5535099,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14584077.88,364.5096893,0.022828406,9.989999771,3.26E-05,22.82840553,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14584101.45,366.5014954,0.023145279,9.989999771,3.23E-05,23.1452787,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14584125.2,368.4874573,0.023472687,9.989999771,2.98E-05,23.472687,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14584149.59,370.4784851,0.023794704,9.989999771,2.69E-05,23.79470428,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14584172.5,372.4060974,0.024108284,9.989999771,2.46E-05,24.108284,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14584196.72,374.4275055,0.024337091,9.989999771,3.26E-05,24.33709053,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14584221.03,376.4415436,0.024709375,9.989999771,2.75E-05,24.70937508,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14584245.81,378.5022583,0.025056825,9.989999771,4.30E-05,25.05682541,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14584270.98,380.2423553,0.025357764,9.989999771,2.32E-05,25.35776436,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
