0.000000,-6.865931E-5,0.011076,1.097624E-9
0.833531,0.019936,0.019364,4.206580E-8
1.654370,0.039939,0.027352,8.616787E-8
2.485767,0.059941,0.035205,1.335104E-7
3.307210,0.079939,0.042589,1.844069E-7
4.132421,0.099952,0.050156,2.394223E-7
4.950854,0.079942,0.043160,1.839878E-7
5.781463,0.059942,0.035186,1.325369E-7
6.597483,0.039945,0.027463,8.513839E-8
7.425364,0.019935,0.019675,4.179099E-8
8.241627,-6.950230E-5,0.011775,1.068476E-9
9.066516,-0.020153,0.002604,-3.678462E-8
9.887300,-0.040155,-0.006033,-7.278458E-8
10.711331,-0.060156,-0.014982,-1.060040E-7
11.543670,-0.080151,-0.023883,-1.384692E-7
12.381336,-0.100157,-0.032893,-1.688742E-7
13.213565,-0.080153,-0.023749,-1.384395E-7
14.050806,-0.060154,-0.014697,-1.067286E-7
14.880883,-0.040155,-0.005801,-7.315886E-8
15.707327,-0.020154,0.002734,-3.727051E-8
16.533678,-0.000152,0.011147,9.622476E-10
17.380218,0.019933,0.019424,4.201848E-8
18.210008,0.039943,0.027457,8.608728E-8
19.039061,0.059940,0.035248,1.332521E-7
19.880116,0.079943,0.042817,1.847703E-7
20.697217,0.099951,0.050025,2.391670E-7
21.523685,0.079945,0.042878,1.828633E-7
22.334255,0.059940,0.035452,1.319196E-7
23.208639,0.039946,0.027758,8.499256E-8
24.025005,0.019937,0.019642,4.139016E-8
24.848091,-6.832220E-5,0.011323,9.634271E-10
25.672446,-0.020154,0.002881,-3.707902E-8
26.505089,-0.040155,-0.005754,-7.259727E-8
27.341266,-0.060156,-0.014531,-1.063335E-7
28.174468,-0.080153,-0.023243,-1.386446E-7
29.001732,-0.100156,-0.031982,-1.684823E-7
