PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557457267,,5.00E+01,3.43E+02,1.50E-06,3.65E-08,-6.21E-03,1.50E-02,3,8.93E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.54E+00,0,,0
1557457283,,5.00E+01,3.40E+02,1.48E-06,1.09E-08,-5.46E-03,1.32E-02,3,8.86E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.73E+00,0,,0
1557457299,,5.00E+01,3.38E+02,1.51E-06,2.67E-08,-1.22E-02,2.01E-02,3,9.05E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.64E+00,0,,0
1557457316,,5.00E+01,3.36E+02,1.51E-06,6.61E-09,-1.78E-02,4.67E-03,3,8.90E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.74E+00,0,,0
1557457332,,5.00E+01,3.34E+02,1.49E-06,2.07E-08,-1.45E-02,3.12E-03,3,8.96E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.69E+00,0,,0
1557457348,,5.00E+01,3.31E+02,1.51E-06,1.88E-08,-5.68E-03,1.48E-02,3,9.02E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.57E+00,0,,0
1557457364,,5.00E+01,3.29E+02,1.50E-06,1.50E-08,3.01E-03,9.76E-03,3,9.14E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.74E+00,0,,0
1557457381,,5.00E+01,3.26E+02,1.49E-06,2.56E-08,-6.53E-03,4.84E-03,3,8.97E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.74E+00,0,,0
1557457398,,5.00E+01,3.24E+02,1.51E-06,2.96E-08,-1.83E-02,1.40E-02,3,9.00E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.94E+00,0,,0
1557457414,,5.00E+01,3.21E+02,1.48E-06,2.92E-08,5.60E-03,1.93E-03,3,9.05E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.78E+00,0,,0
1557457431,,5.00E+01,3.19E+02,1.54E-06,4.58E-08,-1.55E-02,2.10E-02,3,9.06E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.78E+00,0,,0
1557457446,,5.00E+01,3.16E+02,1.51E-06,2.80E-08,-1.37E-02,1.16E-02,3,9.11E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.62E+00,0,,0
1557457462,,5.00E+01,3.14E+02,1.51E-06,1.77E-08,-1.36E-02,1.27E-02,3,9.20E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.80E+00,0,,0
1557457479,,5.00E+01,3.12E+02,1.52E-06,3.34E-08,-2.35E-02,1.76E-02,3,9.06E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.59E+00,0,,0
1557457495,,5.00E+01,3.09E+02,1.49E-06,2.13E-08,-6.34E-03,1.11E-02,3,9.10E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.96E+00,0,,0
1557457512,,5.00E+01,3.07E+02,1.50E-06,6.84E-09,-1.25E-02,1.59E-02,3,8.95E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.80E+00,0,,0
1557457528,,5.00E+01,3.04E+02,1.54E-06,1.15E-09,-1.24E-02,4.08E-03,3,9.10E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.79E+00,0,,0
1557457543,,5.00E+01,3.02E+02,1.49E-06,2.07E-08,-1.45E-02,4.78E-03,3,9.03E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.79E+00,0,,0
1557457559,,5.00E+01,3.00E+02,1.55E-06,6.58E-09,-2.54E-02,2.76E-03,3,9.07E-01,1.83E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.50E+00,2,2,1.76E+00,0,,0
