QuickDAQ Data
2018/12/13 16:58:36
Notes:,,
Sample Rate:,109.05219, Hz,
Measurement Type,Time Waveform,Time Waveform,
Channel Name,169.254.226.173.AD.1,169.254.226.173.AD.2,
X Axis Units,Sec,Sec,
Y Axis Units,V,V,
Time,Real,Real,
 1.23115E-005,-0.0025141239,-0.0214385986,
 1.24176E-005,-0.0025069714,-0.0214314461,
 1.25237E-005,-0.0025105476,-0.0214600563,
 1.26299E-005,-0.0024855137,-0.0211811066,
 1.27360E-005,-0.0025081635,-0.0214052200,
 1.28421E-005,-0.0025057793,-0.0214123726,
 1.29483E-005,-0.0024974346,-0.0213539600,
 1.30544E-005,-0.0025033951,-0.0214040279,
 1.31605E-005,-0.0025093555,-0.0213742256,
 1.32667E-005,-0.0024855137,-0.0212442875,
 1.33728E-005,-0.0024986267,-0.0214207172,
 1.34789E-005,-0.0024986267,-0.0214040279,
 1.35851E-005,-0.0024759769,-0.0213348866,
 1.36912E-005,-0.0024592876,-0.0212264061,
 1.37973E-005,-0.0024747849,-0.0214290619,
 1.39035E-005,-0.0025033951,-0.0215554237,
 1.40096E-005,-0.0025296211,-0.0214600563,
 1.41157E-005,-0.0025451183,-0.0217092037,
 1.42219E-005,-0.0025284290,-0.0215566158,
 1.43280E-005,-0.0025117397,-0.0213587284,
 1.44341E-005,-0.0024998188,-0.0214290619,
 1.45403E-005,-0.0025188923,-0.0215494633,
 1.46464E-005,-0.0025057793,-0.0213456154,
 1.47525E-005,-0.0025045872,-0.0214064121,
 1.48587E-005,-0.0024735928,-0.0212430954,
 1.49648E-005,-0.0024986267,-0.0214159489,
 1.50709E-005,-0.0025188923,-0.0215375423,
 1.51771E-005,-0.0024855137,-0.0213098526,
 1.52832E-005,-0.0025272369,-0.0215840340,
 1.53893E-005,-0.0025475025,-0.0216102600,
 1.54955E-005,-0.0025320053,-0.0214338303,
 1.56016E-005,-0.0247669220,-0.2104461193,
 1.57077E-005,-0.0495183468,-0.4321992397,
 1.58139E-005,-0.0508904457,-0.4654574394,
 1.59200E-005,-0.0488018990,-0.4666316509,
 1.60261E-005,-0.0469648838,-0.4673576355,
 1.61323E-005,-0.0453650951,-0.4684114456,
 1.62384E-005,-0.0439321995,-0.4691433907,
 1.63445E-005,-0.0426757336,-0.4698550701,
 1.64507E-005,-0.0415897369,-0.4706621170,
 1.65568E-005,-0.0405609608,-0.4708456993,
 1.66629E-005,-0.0396573544,-0.4711747169,
 1.67691E-005,-0.0388634205,-0.4716980457,
 1.68752E-005,-0.0381398201,-0.4721081257,
 1.69813E-005,-0.0374674797,-0.4723942280,
 1.70875E-005,-0.0368773937,-0.4728448391,
 1.71936E-005,-0.0363254547,-0.4730391502,
 1.72997E-005,-0.0358366966,-0.4735219479,
 1.74059E-005,-0.0353848934,-0.4738855362,
 1.75120E-005,-0.0349569321,-0.4742503166,
 1.76181E-005,-0.0345826149,-0.4744756222,
 1.77243E-005,-0.0342214108,-0.4745507240,
 1.78304E-005,-0.0338947773,-0.4750239849,
 1.79365E-005,-0.0335407257,-0.4750037193,
 1.80427E-005,-0.0332248211,-0.4749679565,
 1.81488E-005,-0.0329887867,-0.4753434658,
 1.82549E-005,-0.0327122211,-0.4754245281,
 1.83611E-005,-0.0324606895,-0.4754149914,
 1.84672E-005,-0.0322663784,-0.4756367207,
 1.85733E-005,-0.0320219994,-0.4754781723,
 1.86795E-005,-0.0318312645,-0.4757201672,
 1.87856E-005,-0.0316584110,-0.4758131504,
 1.88917E-005,-0.0315129757,-0.4759871960,
 1.89979E-005,-0.0313782692,-0.4763185978,
 1.91040E-005,-0.0312077999,-0.4762351513,
 1.92101E-005,-0.0310754776,-0.4763305187,
 1.93163E-005,-0.0309550762,-0.4763388634,
 1.94224E-005,-0.0308406353,-0.4761993885,
 1.95285E-005,-0.0307285786,-0.4762649536,
 1.96347E-005,-0.0306236744,-0.4765176773,
 1.97408E-005,-0.0305259228,-0.4764926434,
 1.98469E-005,-0.0304484367,-0.4767715931,
 1.99531E-005,-0.0303518772,-0.4767417908,
 2.00592E-005,-0.0302624702,-0.4767918587,
 2.01653E-005,-0.0301992893,-0.4769718647,
 2.02715E-005,-0.0301218033,-0.4769766331,
 2.03776E-005,-0.0300347805,-0.4771435261,
 2.04837E-005,-0.0299465656,-0.4771220684,
 2.05899E-005,-0.0298714638,-0.4769730568,
 2.06960E-005,-0.0298035145,-0.4769563675,
 2.08021E-005,-0.0297582150,-0.4771947861,
 2.09083E-005,-0.0296950340,-0.4772591591,
 2.10144E-005,-0.0296664238,-0.4773581028,
 2.11205E-005,-0.0296401978,-0.4771316051,
 2.12267E-005,-0.0295817852,-0.4772925377,
 2.13328E-005,-0.0295293331,-0.4774475098,
 2.14389E-005,-0.0294995308,-0.4774475098,
 2.15451E-005,-0.0294840336,-0.4775834084,
 2.16512E-005,-0.0294137001,-0.4774236679,
 2.17573E-005,-0.0293695927,-0.4774200916,
 2.18635E-005,-0.0293576717,-0.4774117470,
 2.19696E-005,-0.0293207169,-0.4773712158,
 2.20757E-005,-0.0292551517,-0.4772937298,
 2.21819E-005,-0.0292444229,-0.4774022102,
 2.22880E-005,-0.0292420387,-0.4773056507,
 2.23941E-005,-0.0291991234,-0.4775166512,
 2.25003E-005,-0.0291574001,-0.4774737358,
 2.26064E-005,-0.0291514397,-0.4773974419,
 2.27125E-005,-0.0291299820,-0.4774928093,
 2.28187E-005,-0.0291025639,-0.4774785042,
 2.29248E-005,-0.0290966034,-0.4777956009,
 2.30309E-005,-0.0290834904,-0.4778683186,
 2.31371E-005,-0.0290560722,-0.4776728153,
 2.32432E-005,-0.0290143490,-0.4776525497,
 2.33493E-005,-0.0290226936,-0.4777181149,
 2.34555E-005,-0.0290226936,-0.4774641991,
 2.35616E-005,-0.0290071964,-0.4776024818,
 2.36677E-005,-0.0289881229,-0.4776108265,
 2.37739E-005,-0.0289845467,-0.4776632786,
 2.38800E-005,-0.0289618969,-0.4776918888,
 2.39861E-005,-0.0289213657,-0.4775857925,
 2.40923E-005,-0.0289475918,-0.4777932167,
 2.41984E-005,-0.0289583206,-0.4777765274,
 2.43045E-005,-0.0289094448,-0.4776394367,
 2.44107E-005,-0.0288867950,-0.4776012897,
 2.45168E-005,-0.0288629532,-0.4774880409,
 2.46229E-005,-0.0288593769,-0.4774999619,
 2.47291E-005,-0.0288796425,-0.4776442051,
 2.48352E-005,-0.0288581848,-0.4774463177,
 2.49413E-005,-0.0288820267,-0.4776537418,
 2.50475E-005,-0.0288760662,-0.4775345325,
 2.51536E-005,-0.0288486481,-0.4775524139,
 2.52597E-005,-0.0288617611,-0.4777503014,
 2.53659E-005,-0.0288522243,-0.4775929451,
 2.54720E-005,-0.0288474560,-0.4777610302,
 2.55781E-005,-0.0288534164,-0.4776847363,
 2.56843E-005,-0.0288450718,-0.4775333405,
 2.57904E-005,-0.0288355350,-0.4776799679,
 2.58965E-005,-0.0288271904,-0.4777503014,
 2.60027E-005,-0.0288093090,-0.4775178432,
 2.61088E-005,-0.0288176537,-0.4777443409,
 2.62149E-005,-0.0288164616,-0.4777908325,
 2.63211E-005,-0.0288021564,-0.4778349400,
 2.64272E-005,-0.0287938118,-0.4778361320,
 2.65333E-005,-0.0288081169,-0.4778969288,
 2.66395E-005,-0.0288236141,-0.4780507088,
 2.67456E-005,-0.0288057327,-0.4777193069,
 2.68517E-005,-0.0287806988,-0.4775607586,
 2.69579E-005,-0.0287806988,-0.4777574539,
 2.70640E-005,-0.0287926197,-0.4778599739,
 2.71701E-005,-0.0287604332,-0.4776644707,
 2.72763E-005,-0.0287652016,-0.4777896404,
 2.73824E-005,-0.0287818909,-0.4777753353,
 2.74885E-005,-0.0288176537,-0.4779827595,
 2.75947E-005,-0.0288140774,-0.4777467251,
 2.77008E-005,-0.0287830830,-0.4776155949,
 2.78069E-005,-0.0287926197,-0.4778194427,
 2.79131E-005,-0.0287842751,-0.4776883125,
 2.80192E-005,-0.0287890434,-0.4778456688,
 2.81253E-005,-0.0287806988,-0.4777598381,
 2.82315E-005,-0.0287663937,-0.4775893688,
 2.83376E-005,-0.0287771225,-0.4776489735,
 2.84437E-005,-0.0288069248,-0.4778540134,
 2.85499E-005,-0.0287890434,-0.4777479172,
 2.86560E-005,-0.0287747383,-0.4777753353,
 2.87621E-005,-0.0287711620,-0.4777312279,
 2.88683E-005,-0.0287699699,-0.4777967930,
 2.89744E-005,-0.0287663937,-0.4777383804,
 2.90805E-005,-0.0287628174,-0.4776012897,
 2.91867E-005,-0.0287759304,-0.4778277874,
 2.92928E-005,-0.0287556648,-0.4777753353,
 2.93989E-005,-0.0287580490,-0.4778707027,
 2.95051E-005,-0.0287628174,-0.4779005051,
 2.96112E-005,-0.0287568569,-0.4778063297,
 2.97173E-005,-0.0287532806,-0.4777908325,
 2.98235E-005,-0.0287592411,-0.4777956009,
 2.99296E-005,-0.0287389755,-0.4774916172,
 3.00357E-005,-0.0287365913,-0.4775488377,
 3.01419E-005,-0.0287425518,-0.4774916172,
 3.02480E-005,-0.0287497044,-0.4776060581,
 3.03541E-005,-0.0287795067,-0.4779875278,
 3.04603E-005,-0.0287735462,-0.4778110981,
 3.05664E-005,-0.0287532806,-0.4779040813,
 3.06725E-005,-0.0287270546,-0.4777884483,
 3.07787E-005,-0.0287187099,-0.4776155949,
 3.08848E-005,-0.0287270546,-0.4777300358,
 3.09909E-005,-0.0287473202,-0.4778850079,
 3.10971E-005,-0.0287640095,-0.4777681828,
 3.12032E-005,-0.0287735462,-0.4778003693,
 3.13093E-005,-0.0287759304,-0.4777085781,
 3.14155E-005,-0.0287902355,-0.4778194427,
 3.15216E-005,-0.0287735462,-0.4778027534,
 3.16277E-005,-0.0287604332,-0.4776704311,
 3.17339E-005,-0.0287818909,-0.4779624939,
 3.18400E-005,-0.0287961960,-0.4779577255,
 3.19461E-005,-0.0288152695,-0.4779493809,
 3.20523E-005,-0.0288033485,-0.4779720306,
 3.21584E-005,-0.0287842751,-0.4777514935,
 3.22645E-005,-0.0287795067,-0.4777121544,
 3.23707E-005,-0.0287806988,-0.4778528214,
 3.24768E-005,-0.0287628174,-0.4776144028,
 3.25829E-005,-0.0287556648,-0.4777598381,
 3.26891E-005,-0.0287449360,-0.4776608944,
 3.27952E-005,-0.0287580490,-0.4778492451,
 3.29013E-005,-0.0287759304,-0.4781723022,
 3.30075E-005,-0.0287616253,-0.4778826237,
 3.31136E-005,-0.0287735462,-0.4779458046,
 3.32197E-005,-0.0287616253,-0.4780483246,
 3.33259E-005,-0.0287461281,-0.4778003693,
 3.34320E-005,-0.0287365913,-0.4775595665,
 3.35381E-005,-0.0287294388,-0.4775464535,
 3.36443E-005,-0.0287353992,-0.4774928093,
 3.37504E-005,-0.0287580490,-0.4778492451,
 3.38565E-005,-0.0287508965,-0.4778015614,
 3.39627E-005,-0.0287508965,-0.4779016972,
 3.40688E-005,-0.0287568569,-0.4779899120,
 3.41749E-005,-0.0287544727,-0.4778695107,
 3.42811E-005,-0.0287413597,-0.4780650139,
 3.43872E-005,-0.0287199020,-0.4778993130,
 3.44933E-005,-0.0287139416,-0.4777622223,
 3.45995E-005,-0.0287079811,-0.4776644707,
 3.47056E-005,-0.0287222862,-0.4776251316,
 3.48117E-005,-0.0287330151,-0.4776763916,
 3.49179E-005,-0.0287377834,-0.4778361320,
 3.50240E-005,-0.0287413597,-0.4777586460,
 3.51301E-005,-0.0287437439,-0.4777646065,
 3.52363E-005,-0.0287306309,-0.4776334763,
 3.53424E-005,-0.0287532806,-0.4777085781,
 3.54485E-005,-0.0287795067,-0.4779291153,
 3.55547E-005,-0.0287652016,-0.4778718948,
 3.56608E-005,-0.0287473202,-0.4778695107,
 3.57669E-005,-0.0287377834,-0.4778468609,
 3.58731E-005,-0.0287461281,-0.4778528214,
 3.59792E-005,-0.0287520885,-0.4778599739,
 3.60853E-005,-0.0287735462,-0.4777932167,
 3.61915E-005,-0.0287437439,-0.4774391651,
 3.62976E-005,-0.0287449360,-0.4776334763,
 3.64037E-005,-0.0287640095,-0.4776358604,
 3.65099E-005,-0.0287663937,-0.4776608944,
 3.66160E-005,-0.0287663937,-0.4776251316,
 3.67221E-005,-0.0287592411,-0.4776561260,
 3.68283E-005,-0.0287652016,-0.4779088497,
 3.69344E-005,-0.0287497044,-0.4775881767,
 3.70405E-005,-0.0287783146,-0.4775404930,
 3.71467E-005,-0.0287711620,-0.4776978493,
 3.72528E-005,-0.0287330151,-0.4774940014,
 3.73589E-005,-0.0287449360,-0.4774689674,
 3.74651E-005,-0.0287675858,-0.4777777195,
 3.75712E-005,-0.0287342072,-0.4775059223,
 3.76773E-005,-0.0287497044,-0.4776000977,
 3.77835E-005,-0.0287735462,-0.4777479172,
 3.78896E-005,-0.0287592411,-0.4778063297,
 3.79957E-005,-0.0287640095,-0.4778683186,
 3.81019E-005,-0.0287556648,-0.4777157307,
 3.82080E-005,-0.0287497044,-0.4777967930,
 3.83141E-005,-0.0287449360,-0.4777741432,
 3.84203E-005,-0.0287413597,-0.4775178432,
 3.85264E-005,-0.0287449360,-0.4774916172,
 3.86325E-005,-0.0287401676,-0.4776489735,
 3.87387E-005,-0.0287246704,-0.4775691032,
 3.88448E-005,-0.0287330151,-0.4777860641,
 3.89509E-005,-0.0287413597,-0.4776179790,
 3.90571E-005,-0.0287699699,-0.4777336121,
 3.91632E-005,-0.0287687778,-0.4778313637,
 3.92693E-005,-0.0287532806,-0.4777133465,
 3.93755E-005,-0.0287556648,-0.4777884483,
 3.94816E-005,-0.0287532806,-0.4776334763,
 3.95877E-005,-0.0287532806,-0.4777145386,
 3.96939E-005,-0.0287604332,-0.4777491093,
 3.98000E-005,-0.0287377834,-0.4775393009,
 3.99061E-005,-0.0287258625,-0.4774332047,
 4.00123E-005,-0.0287723541,-0.4778099060,
 4.01184E-005,-0.0287640095,-0.4777240753,
 4.02245E-005,-0.0287592411,-0.4777431488,
 4.03307E-005,-0.0287640095,-0.4777419567,
 4.04368E-005,-0.0287353992,-0.4777085781,
 4.05429E-005,-0.0287234783,-0.4778563976,
 4.06491E-005,-0.0287389755,-0.4776978493,
 4.07552E-005,-0.0287663937,-0.4777145386,
 4.08613E-005,-0.0287628174,-0.4777586460,
 4.09675E-005,-0.0287497044,-0.4777133465,
 4.10736E-005,-0.0287520885,-0.4776763916,
 4.11797E-005,-0.0287461281,-0.4776632786,
 4.12859E-005,-0.0287353992,-0.4775571823,
 4.13920E-005,-0.0287485123,-0.4777824879,
 4.14981E-005,-0.0287365913,-0.4776358604,
 4.16043E-005,-0.0287389755,-0.4776632786,
 4.17104E-005,-0.0287413597,-0.4776859283,
 4.18165E-005,-0.0287210941,-0.4776525497,
 4.19227E-005,-0.0287377834,-0.4779684544,
 4.20288E-005,-0.0287294388,-0.4777610302,
 4.21349E-005,-0.0287175179,-0.4777145386,
 4.22411E-005,-0.0287318230,-0.4777646065,
 4.23472E-005,-0.0287353992,-0.4775810242,
 4.24533E-005,-0.0287187099,-0.4776227474,
 4.25595E-005,-0.0287139416,-0.4777145386,
 4.26656E-005,-0.0287234783,-0.4775547981,
 4.27717E-005,-0.0287401676,-0.4779517651,
 4.28779E-005,-0.0287330151,-0.4778540134,
 4.29840E-005,-0.0287151337,-0.4777979851,
 4.30901E-005,-0.0287079811,-0.4780113697,
 4.31963E-005,-0.0287199020,-0.4777729511,
 4.33024E-005,-0.0287365913,-0.4778265953,
 4.34085E-005,-0.0287210941,-0.4777753353,
 4.35147E-005,-0.0287282467,-0.4776644707,
 4.36208E-005,-0.0287318230,-0.4776442051,
 4.37269E-005,-0.0287234783,-0.4776382446,
 4.38331E-005,-0.0287234783,-0.4775333405,
 4.39392E-005,-0.0287449360,-0.4776132107,
 4.40453E-005,-0.0287294388,-0.4773938656,
 4.41515E-005,-0.0287115574,-0.4775798321,
 4.42576E-005,-0.0287377834,-0.4777669907,
 4.43637E-005,-0.0287640095,-0.4776299000,
 4.44699E-005,-0.0287830830,-0.4777705669,
 4.45760E-005,-0.0287616253,-0.4776060581,
 4.46821E-005,-0.0287473202,-0.4775619507,
 4.47883E-005,-0.0287628174,-0.4777717590,
 4.48944E-005,-0.0287592411,-0.4777526855,
 4.50005E-005,-0.0287401676,-0.4774856567,
 4.51067E-005,-0.0287342072,-0.4776012897,
 4.52128E-005,-0.0287234783,-0.4775595665,
 4.53189E-005,-0.0287342072,-0.4776895046,
 4.54251E-005,-0.0287520885,-0.4776716232,
 4.55312E-005,-0.0287616253,-0.4776477814,
 4.56373E-005,-0.0287580490,-0.4777860641,
 4.57435E-005,-0.0287473202,-0.4776287079,
 4.58496E-005,-0.0287652016,-0.4778325558,
 4.59557E-005,-0.0287652016,-0.4779446125,
 4.60619E-005,-0.0287580490,-0.4777371883,
 4.61680E-005,-0.0287604332,-0.4776036739,
 4.62741E-005,-0.0287556648,-0.4776620865,
 4.63803E-005,-0.0287377834,-0.4774940014,
 4.64864E-005,-0.0287389755,-0.4775786400,
 4.65925E-005,-0.0287401676,-0.4775536060,
 4.66987E-005,-0.0287532806,-0.4776644707,
 4.68048E-005,-0.0287771225,-0.4777562618,
 4.69109E-005,-0.0287699699,-0.4777383804,
 4.70171E-005,-0.0287556648,-0.4778862000,
 4.71232E-005,-0.0287508965,-0.4777479172,
 4.72293E-005,-0.0287389755,-0.4776346684,
 4.73355E-005,-0.0287377834,-0.4776465893,
 4.74416E-005,-0.0287342072,-0.4776537418,
 4.75477E-005,-0.0286984444,-0.4776144028,
 4.76539E-005,-0.0287103653,-0.4778099060,
 4.77600E-005,-0.0287199020,-0.4775774479,
 4.78661E-005,-0.0287187099,-0.4777109623,
 4.79723E-005,-0.0287306309,-0.4776918888,
 4.80784E-005,-0.0287401676,-0.4777169228,
 4.81845E-005,-0.0287425518,-0.4779231548,
 4.82907E-005,-0.0287353992,-0.4778051376,
 4.83968E-005,-0.0287353992,-0.4778683186,
 4.85029E-005,-0.0287282467,-0.4776370525,
 4.86091E-005,-0.0287258625,-0.4774796963,
 4.87152E-005,-0.0287282467,-0.4776680470,
 4.88213E-005,-0.0287163258,-0.4777181149,
 4.89275E-005,-0.0287079811,-0.4775011539,
 4.90336E-005,-0.0287282467,-0.4776799679,
 4.91397E-005,-0.0287127495,-0.4776036739,
 4.92459E-005,-0.0287353992,-0.4777526855,
 4.93520E-005,-0.0287437439,-0.4777634144,
 4.94581E-005,-0.0287401676,-0.4775846004,
 4.95643E-005,-0.0287616253,-0.4777288437,
 4.96704E-005,-0.0287616253,-0.4777991772,
 4.97765E-005,-0.0287544727,-0.4777884483,
 4.98827E-005,-0.0287258625,-0.4776740074,
 4.99888E-005,-0.0287246704,-0.4776895046,
 5.00949E-005,-0.0287437439,-0.4776585102,
 5.02011E-005,-0.0287628174,-0.4777920246,
 5.03072E-005,-0.0287604332,-0.4776990414,
 5.04133E-005,-0.0287723541,-0.4778492451,
 5.05195E-005,-0.0287652016,-0.4777669907,
 5.06256E-005,-0.0284659863,-0.4729652405,
 5.07317E-005,-0.0147426128,-0.2452874184,
 5.08379E-005,-0.0013208389,-0.0221037865,
 5.09440E-005,-0.0013697147,-0.0221550465,
 5.10501E-005,-0.0014066696,-0.0221323967,
 5.11563E-005,-0.0014317036,-0.0221335888,
 5.12624E-005,-0.0014650822,-0.0221514702,
 5.13685E-005,-0.0014936924,-0.0221931934,
 5.14747E-005,-0.0015020370,-0.0219881535,
 5.15808E-005,-0.0015664101,-0.0222086906,
 5.16869E-005,-0.0016057491,-0.0220716000,
 5.17931E-005,-0.0016200542,-0.0219023228,
 5.18992E-005,-0.0016319752,-0.0218844414,
 5.20053E-005,-0.0016582012,-0.0218546391,
 5.21115E-005,-0.0016903877,-0.0219476223,
 5.22176E-005,-0.0016927719,-0.0217247009,
 5.23237E-005,-0.0017404556,-0.0217390060,
 5.24299E-005,-0.0017917156,-0.0218534470,
 5.25360E-005,-0.0018131733,-0.0218176842,
 5.26421E-005,-0.0018274784,-0.0217425823,
 5.27483E-005,-0.0018787384,-0.0219023228,
 5.28544E-005,-0.0018882751,-0.0216710567,
 5.29605E-005,-0.0019121170,-0.0217545033,
 5.30667E-005,-0.0019359589,-0.0216591358,
 5.31728E-005,-0.0019562244,-0.0216794014,
 5.32789E-005,-0.0020003319,-0.0219583511,
 5.33851E-005,-0.0020205975,-0.0218713284,
 5.34912E-005,-0.0020349026,-0.0219202042,
 5.35973E-005,-0.0020539761,-0.0218772888,
 5.37035E-005,-0.0020706654,-0.0216090679,
 5.38096E-005,-0.0020718575,-0.0215470791,
 5.39157E-005,-0.0021088123,-0.0218141079,
