QuickDAQ Data
2018/12/13 17:32:47
Notes:,,
Sample Rate:,109.05219, Hz,
Measurement Type,Time Waveform,Time Waveform,
Channel Name,169.254.226.173.AD.1,169.254.226.173.AD.2,
X Axis Units,Sec,Sec,
Y Axis Units,V,V,
Time,Real,Real,
 0.00000E+000, 3.67165E-004, 0.0027871132,
 1.06133E-007, 3.48091E-004, 0.0025439262,
 2.12267E-007, 3.61204E-004, 0.0027132034,
 3.18400E-007, 3.34978E-004, 0.0027024746,
 4.24533E-007, 3.40939E-004, 0.0026535988,
 5.30667E-007, 3.82662E-004, 0.0028586388,
 6.36800E-007, 3.99351E-004, 0.0029540062,
 7.42933E-007, 3.68357E-004, 0.0027644634,
 8.49067E-007, 3.83854E-004, 0.0029277802,
 9.55200E-007, 3.64780E-004, 0.0027322769,
 1.06133E-006, 3.58820E-004, 0.0026798248,
 1.16747E-006, 3.65973E-004, 0.0027179718,
 1.27360E-006, 3.26633E-004, 0.0024437904,
 1.37973E-006, 3.44515E-004, 0.0025308132,
 1.48587E-006, 3.44515E-004, 0.0024688244,
 1.59200E-006, 3.14713E-004, 0.0024628639,
 1.69813E-006, 3.19481E-004, 0.0026285648,
 1.80427E-006, 3.44515E-004, 0.0026845932,
 1.91040E-006, 3.46899E-004, 0.0026452541,
 2.01653E-006, 3.77893E-004, 0.0029432774,
 2.12267E-006, 3.65973E-004, 0.0028455257,
 2.22880E-006, 3.64780E-004, 0.0028228760,
 2.33493E-006, 3.48091E-004, 0.0026834011,
 2.44107E-006, 3.54052E-004, 0.0026988983,
 2.54720E-006, 3.85046E-004, 0.0029242039,
 2.65333E-006, 3.69549E-004, 0.0028038025,
 2.75947E-006, 3.91006E-004, 0.0029468536,
 2.86560E-006, 3.87430E-004, 0.0029277802,
 2.97173E-006, 3.74317E-004, 0.0027847290,
 3.07787E-006, 3.82662E-004, 0.0028479099,
 3.18400E-006, 3.77893E-004, 0.0029540062,
 3.29013E-006, 3.64780E-004, 0.0027644634,
 3.39627E-006, 4.18425E-004, 0.0030016899,
 3.50240E-006, 3.94583E-004, 0.0028836727,
 3.60853E-006, 3.75509E-004, 0.0028610229,
 3.71467E-006, 3.73125E-004, 0.0028085709,
 3.82080E-006, 3.30210E-004, 0.0025069714,
 3.92693E-006, 3.43323E-004, 0.0026679039,
