光学クライオスタット 300K→50K (180806; 1K/min),,光学クライオスタット 50K→300K (180806; 1K/min),,,PPMS 300K→100K (180709; 2K/min),,PPMS 100K→300K (180709; 2K/min),
287.44,0.02803,61.724,0.016746,,318.7693024,0.029282054,118.4500504,0.019922605
287.26,0.02799,61.901,0.016787,,319.0283966,0.0292342,118.6964989,0.019784077
287.09,0.02806,62.08,0.016696,,319.2791443,0.029392788,118.9680023,0.019818311
286.91,0.027989,62.258,0.016827,,319.5558014,0.028998961,119.257,0.019825316
286.73,0.02783,62.436,0.016837,,319.8490143,0.029453119,119.5075989,0.019528325
286.56,0.027918,62.611,0.016878,,320.1065979,0.029484821,119.7503014,0.019908558
286.38,0.027908,62.788,0.017028,,320.3786926,0.029375223,119.9949989,0.019632618
286.2,0.027777,62.963,0.017019,,320.6452026,0.029637447,120.2490005,0.019991036
286.02,0.027636,63.144,0.016918,,320.9157562,0.029450065,120.5161476,0.019769415
285.85,0.027767,63.319,0.017221,,321.1708527,0.02946447,120.7564507,0.020027693
285.67,0.027686,63.496,0.017039,,321.4512939,0.029603565,121.0091515,0.020288324
285.49,0.027739,63.671,0.016909,,321.7105103,0.029381181,121.2624016,0.020107881
285.31,0.027868,63.843,0.01716,,321.959198,0.029550871,121.511097,0.020199295
285.14,0.027606,64.019,0.01711,,322.2159119,0.029388813,121.8077469,0.020155993
284.96,0.027818,64.196,0.017432,,322.4754486,0.029637932,122.0576515,0.019957647
284.78,0.027788,64.376,0.017321,,322.7401581,0.029526179,122.3489494,0.020239999
284.61,0.027747,64.551,0.01714,,322.9972534,0.029632585,122.5986519,0.020295439
284.43,0.027798,64.726,0.01713,,323.2429504,0.029622845,122.8586464,0.0202568
284.25,0.027677,64.907,0.017323,,323.5283051,0.029689862,123.1123505,0.020320876
284.08,0.028049,65.081,0.017442,,323.7711487,0.029605792,123.3731499,0.020418701
283.9,0.027666,65.258,0.017241,,324.0699005,0.029729574,123.6165504,0.020542169
283.72,0.027676,65.436,0.017342,,324.3382416,0.029506589,123.872551,0.020461468
283.55,0.027656,65.615,0.017484,,324.6021576,0.029754775,124.125,0.020242024
283.37,0.027979,65.791,0.017432,,324.8471985,0.030033129,124.3768997,0.020498888
283.19,0.027648,65.972,0.017393,,325.1125946,0.029796778,124.6202011,0.020537865
283.01,0.027817,66.149,0.017442,,325.3599091,0.029796568,124.8874969,0.020601986
282.84,0.027666,66.324,0.017513,,325.6221466,0.029920496,125.1398506,0.020583652
282.66,0.027626,66.502,0.017674,,325.8740997,0.030088462,125.4003525,0.020661554
282.48,0.027455,66.678,0.017785,,326.1800537,0.029907513,125.6525002,0.020695575
282.31,0.027485,66.853,0.017543,,326.4391479,0.029869692,125.9111023,0.020795199
282.13,0.027555,67.032,0.017906,,326.7313995,0.029968609,126.1749496,0.020766799
281.95,0.027536,67.208,0.017704,,327.0143585,0.029836622,126.4680481,0.020799017
281.78,0.027535,67.383,0.017846,,327.2530518,0.030079343,126.7217979,0.021222393
281.6,0.027586,67.562,0.017795,,327.497406,0.030129163,126.9750519,0.020809709
281.42,0.027414,67.74,0.017866,,327.7503967,0.030048796,127.2278976,0.021023981
281.25,0.027434,67.914,0.018016,,327.9924469,0.030034755,127.4810028,0.020981539
281.07,0.027514,68.091,0.017865,,328.2698517,0.030148839,127.7322006,0.021029069
280.89,0.027434,68.267,0.017865,,328.545639,0.030019492,127.9853973,0.021122821
280.72,0.027545,68.443,0.017966,,328.8240967,0.030143493,128.241745,0.021113011
280.54,0.027504,68.618,0.017996,,329.0662537,0.030001685,128.5304031,0.021198426
280.36,0.027463,68.794,0.017916,,329.3161469,0.030200006,128.7811508,0.021425049
280.18,0.027464,68.97,0.018127,,329.5704956,0.030454483,129.047348,0.021225919
280.01,0.027483,69.145,0.018038,,329.8651886,0.030211461,129.2759476,0.02145812
279.83,0.027343,69.322,0.018127,,330.1159058,0.030561418,129.555954,0.021322143
279.66,0.027574,69.505,0.018138,,330.3737488,0.030380236,129.799202,0.021002755
279.48,0.027494,69.683,0.018259,,330.6255951,0.030299405,130.0781021,0.02143135
279.3,0.0272,69.858,0.018249,,330.90065,0.030297758,130.3196487,0.021437768
279.13,0.027473,70.034,0.018198,,331.1651459,0.030535979,130.5904007,0.02147488
278.95,0.027412,70.208,0.01839,,331.4540405,0.03043904,130.8478012,0.021688033
278.77,0.027442,70.386,0.018309,,331.7248993,0.030497823,131.0955048,0.021464953
278.6,0.02726,70.563,0.01844,,331.9991913,0.030421475,131.3449478,0.02152269
278.42,0.02728,70.741,0.01842,,332.2590942,0.030410752,131.6500473,0.021724606
278.24,0.027321,70.919,0.018611,,332.5150604,0.030448204,131.890152,0.02164479
278.07,0.027361,71.094,0.018661,,332.7697449,0.030479435,132.1511993,0.021702459
277.89,0.027343,71.268,0.020415,,333.0236511,0.030544428,132.4125519,0.021830484
277.71,0.027562,71.444,0.018521,,333.2735443,0.030515047,132.7018509,0.021832286
277.54,0.02719,71.621,0.01838,,333.5480042,0.030568866,132.9505463,0.021754863
277.36,0.027169,71.799,0.018734,,333.8155975,0.030797406,133.2453995,0.021875816
277.18,0.027321,71.976,0.018702,,334.0858459,0.030620033,133.4914017,0.022090649
277.01,0.027057,72.153,0.018914,,334.3341522,0.030718647,133.7365036,0.022001825
276.83,0.027472,72.328,0.018702,,334.6148529,0.030668909,133.9917526,0.022060123
276.65,0.02735,72.504,0.018652,,334.8833466,0.030588915,134.2509995,0.022018626
276.48,0.027289,72.681,0.018712,,335.1464081,0.030681891,134.4886017,0.021973633
276.3,0.027249,72.857,0.018853,,335.4008026,0.030939956,134.7541504,0.02205681
276.12,0.027228,73.034,0.019025,,335.653595,0.030772006,135.0158997,0.021972863
275.95,0.027198,73.212,0.019055,,335.9173431,0.03090943,135.2743988,0.022102631
275.77,0.030024,73.389,0.018762,,336.1800995,0.030765897,135.5157547,0.022196712
275.59,0.033922,73.566,0.018864,,336.4288635,0.030714932,135.7818069,0.022247732
275.42,0.034182,73.739,0.019165,,336.6890411,0.030759024,136.0221558,0.022379861
275.24,0.034122,73.916,0.018984,,336.941391,0.030491088,136.2905502,0.022381377
275.06,0.034839,74.093,0.019176,,337.2231598,0.030809427,136.5369034,0.022280656
274.89,0.034476,74.273,0.019024,,337.4899445,0.030854834,136.8203506,0.022438653
274.71,0.034959,74.447,0.019135,,337.7608032,0.030881977,137.0769501,0.022190314
274.53,0.034264,74.622,0.019286,,338.0056915,0.031032892,137.3224564,0.022490584
274.36,0.03397,74.796,0.019266,,338.2632446,0.030862121,137.5762024,0.022452204
274.18,0.034162,74.975,0.019155,,338.5159912,0.03091324,137.8624954,0.022517313
274,0.03397,75.15,0.019256,,338.7671509,0.030925507,138.1223526,0.022587014
273.83,0.03384,75.33,0.019226,,339.0183868,0.030760619,138.4078522,0.022589864
273.65,0.034,75.507,0.019276,,339.282196,0.031046933,138.6716003,0.02271928
273.47,0.034042,75.684,0.019337,,339.5513916,0.031210849,138.953598,0.022738019
273.3,0.03403,75.861,0.019438,,339.8189392,0.031114902,139.2065506,0.022748127
273.12,0.033768,76.036,0.019457,,340.0630951,0.031638186,139.449501,0.022741074
272.94,0.033627,76.214,0.019498,,340.317749,0.030970565,139.7050552,0.022651468
272.77,0.033859,76.39,0.019518,,340.5639954,0.031012938,139.9570999,0.022735728
272.59,0.033626,76.566,0.0195,,340.8304901,0.031011804,140.2096481,0.023033019
272.41,0.033385,76.743,0.019619,,341.0904541,0.031033288,140.464447,0.022886939
272.24,0.033536,76.92,0.019468,,341.3446045,0.031111083,140.7175522,0.022799001
272.06,0.033294,77.097,0.019498,,341.5921021,0.031051094,140.9676514,0.022959488
271.88,0.033233,77.274,0.019508,,341.8519135,0.031243201,141.2192993,0.023085739
271.71,0.033103,77.45,0.0197,,342.1215515,0.031010394,141.4710007,0.023016002
271.53,0.03295,77.625,0.01966,,342.3770447,0.031150795,141.7251511,0.023080789
271.35,0.033326,77.802,0.0197,,342.6331024,0.031110389,141.982399,0.023088552
271.18,0.033324,77.979,0.01964,,342.8724976,0.031272985,142.2274017,0.023139299
271,0.033619,78.155,0.019881,,343.134201,0.031390204,142.5138016,0.02317103
270.82,0.033313,78.333,0.019852,,343.3955536,0.031243965,142.7602539,0.023108772
270.65,0.033394,78.511,0.019912,,343.6594543,0.031324067,143.0135498,0.023241289
270.47,0.033263,78.687,0.019892,,343.9207611,0.031236328,143.2791519,0.023213253
270.29,0.033395,78.865,0.019841,,344.1907043,0.031125651,143.5225983,0.023233652
