QuickDAQ Data
2019/01/13 13:21:15
Notes:,,
Sample Rate:,99.96746, Hz,
Measurement Type,Time Waveform,Time Waveform,
Channel Name,169.254.226.173.AD.1,169.254.226.173.AD.2,
X Axis Units,Sec,Sec,
Y Axis Units,V,V,
Time,Real,Real,
 0.00000E+000, 1.90735E-005, 4.85182E-004,
 1.15778E-007, 1.43051E-005, 5.63860E-004,
 2.31557E-007, 1.66893E-005, 5.63860E-004,
 3.47335E-007, 2.86102E-005, 3.98159E-004,
 4.63114E-007, 1.54972E-005, 4.07696E-004,
 5.78892E-007, 4.76837E-006, 3.95775E-004,
 6.94670E-007, 1.19209E-006, 3.75509E-004,
 8.10449E-007, 1.19209E-005, 3.26633E-004,
 9.26227E-007, 2.50340E-005, 1.80006E-004,
 1.04201E-006, 2.14577E-005, 1.44243E-004,
 1.15778E-006, 1.90735E-005, 2.84910E-004,
 1.27356E-006, 5.96046E-006, 2.90871E-004,
 1.38934E-006, 0.00000E+000, 2.81334E-004,
 1.50512E-006, 9.53674E-006, 5.03063E-004,
 1.62090E-006, 2.14577E-005, 3.80278E-004,
 1.73668E-006, 1.54972E-005, 1.68085E-004,
 1.85245E-006, 3.57628E-006, 2.65837E-004,
 1.96823E-006, 1.90735E-005, 3.31402E-004,
 2.08401E-006, 3.81470E-005, 3.43323E-004,
 2.19979E-006, 4.76837E-006, 4.49419E-004,
 2.31557E-006,-2.62260E-005, 4.56572E-004,
 2.43135E-006, 5.96046E-006, 4.36306E-004,
 2.54713E-006, 2.50340E-005, 3.99351E-004,
 2.66290E-006,-8.34465E-006, 3.02792E-004,
 2.77868E-006, 4.76837E-006, 2.53916E-004,
 2.89446E-006, 2.62260E-005, 3.05176E-004,
 3.01024E-006, 7.15256E-006, 3.21865E-004,
 3.12602E-006, 3.57628E-006, 3.75509E-004,
 3.24180E-006, 1.31130E-005, 4.94719E-004,
 3.35757E-006, 1.66893E-005, 4.36306E-004,
 3.47335E-006, 1.19209E-005, 3.77893E-004,
 3.58913E-006, 1.31130E-005, 4.05312E-004,
 3.70491E-006, 1.90735E-005, 4.61340E-004,
 3.82069E-006,-2.38419E-006, 5.31673E-004,
 3.93647E-006, 0.00000E+000, 5.16176E-004,
 4.05224E-006, 7.15256E-006, 5.18560E-004,
 4.16802E-006, 3.57628E-006, 4.97103E-004,
 4.28380E-006, 4.76837E-006, 4.79221E-004,
 4.39958E-006,-3.57628E-006, 4.08888E-004,
 4.51536E-006, 2.02656E-005, 3.75509E-004,
 4.63114E-006, 2.14577E-005, 4.20809E-004,
 4.74691E-006, 5.96046E-006, 3.52859E-004,
 4.86269E-006,-4.76837E-006, 2.81334E-004,
 4.97847E-006, 1.19209E-006, 3.25441E-004,
 5.09425E-006, 2.62260E-005, 2.08616E-004,
 5.21003E-006, 2.14577E-005, 3.03984E-004,
 5.32581E-006, 1.07288E-005, 5.90086E-004,
 5.44159E-006, 5.96046E-006, 5.35250E-004,
 5.55736E-006, 3.09944E-005, 4.76837E-004,
 5.67314E-006, 2.62260E-005, 4.92334E-004,
 5.78892E-006, 5.96046E-006, 5.05447E-004,
 5.90470E-006, 2.26498E-005, 5.28097E-004,
 6.02048E-006, 1.43051E-005, 3.82662E-004,
 6.13626E-006, 2.38419E-006, 2.62260E-004,
 6.25203E-006, 1.07288E-005, 4.17233E-004,
 6.36781E-006, 2.38419E-006, 4.97103E-004,
 6.48359E-006,-5.96046E-006, 4.68493E-004,
 6.59937E-006, 3.57628E-006, 4.27961E-004,
 6.71515E-006, 0.00000E+000, 5.22137E-004,
 6.83093E-006,-3.57628E-006, 5.63860E-004,
 6.94670E-006, 1.78814E-005, 3.93391E-004,
 7.06248E-006, 3.09944E-005, 4.79221E-004,
 7.17826E-006, 2.86102E-005, 5.99623E-004,
 7.29404E-006, 2.74181E-005, 5.66244E-004,
 7.40982E-006, 2.50340E-005, 5.81741E-004,
 7.52560E-006, 5.96046E-006, 5.31673E-004,
 7.64138E-006,-5.96046E-006, 5.71012E-004,
 7.75715E-006, 1.54972E-005, 5.81741E-004,
 7.87293E-006, 2.62260E-005, 5.56707E-004,
 7.98871E-006, 1.19209E-005, 5.51939E-004,
 8.10449E-006, 3.57628E-006, 5.10216E-004,
 8.22027E-006, 1.07288E-005, 4.35114E-004,
 8.33605E-006, 9.53674E-006, 3.74317E-004,
 8.45182E-006, 1.66893E-005, 4.86374E-004,
 8.56760E-006, 1.78814E-005, 5.11408E-004,
 8.68338E-006, 2.02656E-005, 4.86374E-004,
 8.79916E-006, 2.38419E-005, 4.83990E-004,
 8.91494E-006, 9.53674E-006, 5.87702E-004,
 9.03072E-006, 1.78814E-005, 5.51939E-004,
 9.14649E-006, 2.62260E-005, 3.13520E-004,
 9.26227E-006, 2.26498E-005, 3.75509E-004,
 9.37805E-006,-3.57628E-006, 5.13792E-004,
 9.49383E-006, 8.34465E-006, 4.74453E-004,
 9.60961E-006, 2.98023E-005, 4.48227E-004,
 9.72539E-006, 9.53674E-006, 4.67300E-004,
 9.84117E-006,-1.07288E-005, 5.23329E-004,
 9.95694E-006,-1.19209E-005, 5.53131E-004,
 1.00727E-005, 2.86102E-005, 5.19753E-004,
 1.01885E-005, 3.93391E-005, 5.90086E-004,
 1.03043E-005, 1.31130E-005, 5.38826E-004,
 1.04201E-005,-2.38419E-006, 3.38554E-004,
 1.05358E-005, 1.19209E-005, 3.46899E-004,
 1.06516E-005, 1.54972E-005, 5.03063E-004,
 1.07674E-005, 5.96046E-006, 4.62532E-004,
 1.08832E-005, 1.66893E-005, 4.92334E-004,
 1.09989E-005, 2.14577E-005, 6.19888E-004,
 1.11147E-005, 2.50340E-005, 5.29289E-004,
 1.12305E-005, 1.78814E-005, 4.49419E-004,
 1.13463E-005, 1.07288E-005, 3.99351E-004,
 1.14621E-005, 2.50340E-005, 3.21865E-004,
 1.15778E-005, 3.93391E-005, 4.25577E-004,
 1.16936E-005, 2.26498E-005, 5.12600E-004,
 1.18094E-005, 0.00000E+000, 3.80278E-004,
 1.19252E-005, 2.38419E-005, 2.87294E-004,
 1.20410E-005, 4.05312E-005, 3.51667E-004,
 1.21567E-005, 2.26498E-005, 3.31402E-004,
 1.22725E-005, 2.26498E-005, 3.42131E-004,
 1.23883E-005, 1.19209E-005, 4.93526E-004,
 1.25041E-005,-7.15256E-006, 5.23329E-004,
 1.26198E-005, 0.00000E+000, 4.87566E-004,
 1.27356E-005, 1.43051E-005, 4.75645E-004,
 1.28514E-005, 7.15256E-006, 4.08888E-004,
 1.29672E-005, 7.15256E-006, 4.72069E-004,
 1.30830E-005, 1.90735E-005, 5.54323E-004,
 1.31987E-005, 1.07288E-005, 4.24385E-004,
 1.33145E-005, 2.26498E-005, 4.43459E-004,
 1.34303E-005, 2.62260E-005, 6.27041E-004,
 1.35461E-005, 9.53674E-006, 4.83990E-004,
 1.36619E-005, 1.07288E-005, 4.27961E-004,
 1.37776E-005, 3.09944E-005, 5.90086E-004,
 1.38934E-005, 1.19209E-005, 5.17368E-004,
 1.40092E-005,-1.19209E-006, 4.24385E-004,
 1.41250E-005, 2.02656E-005, 3.85046E-004,
 1.42407E-005, 1.90735E-005, 4.22001E-004,
 1.43565E-005, 2.50340E-005, 5.45979E-004,
 1.44723E-005, 1.54972E-005, 5.05447E-004,
 1.45881E-005, 1.07288E-005, 5.03063E-004,
 1.47039E-005, 1.54972E-005, 6.13928E-004,
 1.48196E-005,-3.57628E-006, 4.95911E-004,
 1.49354E-005,-3.57628E-006, 4.26769E-004,
 1.50512E-005, 9.53674E-006, 4.51803E-004,
 1.51670E-005, 0.00000E+000, 4.45843E-004,
 1.52828E-005,-2.38419E-006, 4.30346E-004,
 1.53985E-005,-1.19209E-006, 3.63588E-004,
 1.55143E-005,-4.76837E-006, 3.96967E-004,
 1.56301E-005, 1.31130E-005, 5.24521E-004,
 1.57459E-005, 2.74181E-005, 5.47171E-004,
 1.58616E-005, 3.93391E-005, 4.43459E-004,
 1.59774E-005, 2.62260E-005, 3.67165E-004,
 1.60932E-005, 5.96046E-006, 4.86374E-004,
 1.62090E-005, 8.34465E-006, 4.68493E-004,
 1.63248E-005, 1.54972E-005, 3.96967E-004,
 1.64405E-005,-8.34465E-006, 4.30346E-004,
 1.65563E-005,-1.43051E-005, 2.52724E-004,
 1.66721E-005, 9.53674E-006,-1.01328E-004,
 1.67879E-005, 4.37498E-004,-0.2187740803,
 1.69036E-005, 8.71420E-004,-0.4364132881,
 1.70194E-005, 8.84533E-004,-0.4352200031,
 1.71352E-005, 8.79765E-004,-0.4344868660,
 1.72510E-005, 8.74996E-004,-0.4340028763,
 1.73668E-005, 8.74996E-004,-0.4334700108,
 1.74825E-005, 8.64267E-004,-0.4330468178,
 1.75983E-005, 8.89301E-004,-0.4328978062,
 1.77141E-005, 8.86917E-004,-0.4327404499,
 1.78299E-005, 8.69036E-004,-0.4325127602,
 1.79457E-005, 8.76188E-004,-0.4323470592,
 1.80614E-005, 8.72612E-004,-0.4322504997,
 1.81772E-005, 8.74996E-004,-0.4321813583,
 1.82930E-005, 8.77380E-004,-0.4321086407,
 1.84088E-005, 8.83341E-004,-0.4320681095,
 1.85245E-005, 8.92878E-004,-0.4320263863,
 1.86403E-005, 9.03606E-004,-0.4319477081,
 1.87561E-005, 8.98838E-004,-0.4319369793,
 1.88719E-005, 9.03606E-004,-0.4319572449,
 1.89877E-005, 9.08375E-004,-0.4319190979,
 1.91034E-005, 9.13143E-004,-0.4319834709,
 1.92192E-005, 9.14335E-004,-0.4319655895,
 1.93350E-005, 9.11951E-004,-0.4317319393,
 1.94508E-005, 9.02414E-004,-0.4315972328,
 1.95666E-005, 8.74996E-004,-0.4317033291,
 1.96823E-005, 8.84533E-004,-0.4318451881,
 1.97981E-005, 9.10759E-004,-0.4317700863,
 1.99139E-005, 9.05991E-004,-0.4317045212,
 2.00297E-005, 8.94070E-004,-0.4317295551,
 2.01454E-005, 8.92878E-004,-0.4315769672,
 2.02612E-005, 9.05991E-004,-0.4315102100,
 2.03770E-005, 9.17912E-004,-0.4316186905,
 2.04928E-005, 9.11951E-004,-0.4315710068,
 2.06086E-005, 8.85725E-004,-0.4315102100,
 2.07243E-005, 9.00030E-004,-0.4315328598,
 2.08401E-005, 9.22680E-004,-0.4314827919,
 2.09559E-005, 9.09567E-004,-0.4314637184,
 2.10717E-005, 9.09567E-004,-0.4315304756,
 2.11874E-005, 9.09567E-004,-0.4315495491,
 2.13032E-005, 9.23872E-004,-0.4314434528,
 2.14190E-005, 9.27448E-004,-0.4314076900,
 2.15348E-005, 9.10759E-004,-0.4314863682,
 2.16506E-005, 9.07183E-004,-0.4315221310,
 2.17663E-005, 9.11951E-004,-0.4314911366,
 2.18821E-005, 9.26256E-004,-0.4314935207,
 2.19979E-005, 9.10759E-004,-0.4314553738,
 2.21137E-005, 9.10759E-004,-0.4314446449,
 2.22295E-005, 9.33409E-004,-0.4315090179,
 2.23452E-005, 9.19104E-004,-0.4315447807,
 2.24610E-005, 9.08375E-004,-0.4314625263,
 2.25768E-005, 8.91685E-004,-0.4314434528,
 2.26926E-005, 8.83341E-004,-0.4313588142,
 2.28083E-005, 8.92878E-004,-0.4313206673,
 2.29241E-005, 8.98838E-004,-0.4313886166,
 2.30399E-005, 9.10759E-004,-0.4314184189,
 2.31557E-005, 9.16719E-004,-0.4313361645,
 2.32715E-005, 9.26256E-004,-0.4311931133,
 2.33872E-005, 9.27448E-004,-0.4313480854,
 2.35030E-005, 9.20296E-004,-0.4313981533,
 2.36188E-005, 9.07183E-004,-0.4313147068,
 2.37346E-005, 8.84533E-004,-0.4313278198,
 2.38504E-005, 8.83341E-004,-0.4311752319,
 2.39661E-005, 9.04799E-004,-0.4311311245,
 2.40819E-005, 9.15527E-004,-0.4312205315,
 2.41977E-005, 9.00030E-004,-0.4312014580,
