[Header]
; Copyright 1997-99, Quantum Design, Inc. All rights reserved.
TITLE, PPMS Log Data File
FILEOPENTIME,14575207.69,6/18/2019,4:49 PM
BYAPP, LogData, 1.1, 2.0
INFO, APPNAME, PPMS MultiVu Application, 1.5.11
FIELDGROUP, Standard,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
FIELDGROUP, Diagnostic,2,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
FIELDGROUP, User,2,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
FIELDGROUP, MAP User,2,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
STARTUPGROUP, All
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 4, LINEAR, AUTO
TIMEMODE, MINUTES, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON, MARKERS_AND_LINES, ALL_LINES
RECORDS, ALL_RECORDS
DATATYPE, TIME, 2
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 (),System Status (code),Setpoint (K),Magnet (Oe),Valve Position (deg),CIG/Cernox (K),CIG Excit (uA),Plat Therm (K),Plat Excit (uA),Neck Therm (K),Neck Excit (uA),Spare Therm (K),Spare Excit (uA),Flow Rate (l/min),Annulus Vacuum (V),Impedance (mode),Block Htr Cur (mA),Block Htr Pwr (W),Neck Htr Cur (mA),Neck Htr Pwr (W),Annulus Pres (Torr),System Pres (Torr),Tableless Map53 (),Tableless Map54 (),Redirected 55 (),Redirected 56 (),Redirected 57 (),Redirected 58 (),Redirected 59 (),Redirected 60 (),Redirected 61 (),Seq Stat (),Sys Temp (),He Level (),Map 67 (),Map 68 (),Map 69 (),PSU Field (Oe),Hi res (A) read,Mag (V) read,Mag adj/sc(I)set,Sw heater state,DAC <I> (cnts),Therm v,KRPMs,Pump temp (C),Pump power (W),High Vacuum mode,Flapper state,Regen htr flag,iso flag,BlockHeater(Ohm),NeckHeater(Ohm),Last 2 eng st,Hires enable,Mag (V) set,Map 89 (),Map 90 (),Map 91 (),Map 92 (),Map 93 (),MAP 1,MAP 2,MAP 3,MAP 4,MAP 5,MAP 6,MAP 7,MAP 8,MAP 9,MAP 10,MAP 11,MAP 12,MAP 13,MAP 14,MAP 15,MAP 16,MAP 17,MAP 18,MAP 19,MAP 20,MAP 21,MAP 22,MAP 23,MAP 24,MAP 25,MAP 26,MAP 27,MAP 28,MAP 29,MAP 30
,14575307.97,4374,291.3370,0.015373,0.000,-4.1693244,9.990,-3.0554671,9.990,,0.002,,0.002,0.0098,0.0000,0,0.00,0.00,0.00,0.00,7.4972320,,399.9998474,399.9998474,439.8695679,,,,,,,4358,293.870,0.015,-0.9,293.3145752,121.886,291.3954163,857.352,268.2304993,127.992,,,0.261552,3.624817,0.0,887.91,19.99646,810.50,14.36293,-1.2375835,25.500275,,,,,,,,,,43.0,291.3954,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3637276,21.8643341,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575317.77,4374,292.8815,0.015373,0.000,-2.1046681,9.990,-5.0420361,9.990,,0.002,,0.002,0.0098,0.0195,0,0.00,0.00,0.00,0.00,7.4972320,,399.9998474,399.9998474,439.8695679,,,,,,,4358,295.301,0.015,-0.9,294.9083862,121.886,292.9399109,852.467,269.7661743,127.992,,,0.261552,3.615047,0.0,887.91,19.99646,810.50,14.37282,-0.8250557,24.417349,,,,,,,,,,43.0,292.9399,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3637276,21.8794022,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575327.78,4374,294.5256,0.015373,0.000,-1.5924429,9.990,-5.2242370,9.990,,0.002,,0.002,0.0195,0.0049,0,0.00,0.00,0.00,0.00,7.4972320,,399.9998474,399.9998474,439.8695679,,,,,,,4358,296.570,0.015,-0.9,296.4871826,121.886,294.5255737,847.582,271.3856506,127.992,,,0.261552,3.624817,0.0,887.91,19.98561,810.50,14.38272,-0.4125278,23.695398,,,,,,,,,,43.0,294.5256,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3499737,21.8944702,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575337.77,4374,296.0584,0.015373,0.000,-412.8314209,9.990,-9.1579208,9.624,,0.002,,0.002,-0.0049,0.0049,0,0.00,0.00,0.00,0.00,7.3489261,,399.9998474,399.9998474,439.8695679,,,,,,,4358,297.652,0.015,-0.9,298.0896606,121.886,296.1179199,842.697,272.8771973,134.343,,,0.266950,3.610161,0.0,887.91,19.99646,810.50,14.39262,-0.4125278,24.417349,,,,,,,,,,43.0,296.1179,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3637276,21.9095383,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575347.94,4374,297.6864,0.015373,0.000,-3.9916115,9.990,-3.1929073,9.990,,0.002,,0.002,0.0098,-0.0049,0,0.00,0.00,0.00,0.00,7.4972320,,399.9998474,399.9998474,439.8695679,,,,,,,4358,298.550,0.015,-0.9,299.7269897,121.886,297.6864014,837.811,274.4880371,134.343,,,0.259740,3.619932,0.0,888.16,19.98561,810.50,14.39262,-1.2375835,24.778324,,,,,,,,,,43.0,297.7454,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3499737,21.9095383,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575357.81,4370,299.1930,0.015373,0.000,-354.9444580,9.990,-50.3315849,1.776,,0.002,,0.002,0.0195,-0.0049,0,0.00,0.00,0.00,0.00,7.5725036,,399.9998474,399.9998474,439.8695679,,,,,,,4354,299.184,0.015,-0.9,301.2237549,121.886,299.2435303,832.926,276.0192871,134.343,,,0.257921,3.634587,0.0,887.91,19.99646,810.50,14.40252,0.8250557,24.778324,,,,,,,,,,43.0,299.2435,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3637276,21.9246063,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575367.98,4374,300.8264,0.015373,0.000,-3.4209447,9.990,-3.8178144,9.990,,0.002,,0.002,0.0049,-0.0049,0,0.00,0.00,0.00,0.00,7.5725036,,399.9998474,399.9998474,439.8695679,,,,,,,4358,299.675,0.015,-0.9,302.8201294,127.748,300.8833313,828.041,277.5841980,134.343,,,0.257921,3.634587,0.0,795.36,17.33901,726.01,11.53561,-0.4125278,24.056374,,,,,,,,,,43.0,300.8833,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,27.4092121,21.8855991,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575377.80,4374,301.3805,0.015373,0.000,-1.1993958,9.990,-3.0279012,9.990,,0.002,,0.002,0.0195,0.0000,0,0.00,0.00,0.00,0.00,7.5725036,,399.9998474,399.9998474,439.8695679,,,,,,,4358,299.935,0.015,-0.9,302.7169800,127.748,301.3649597,828.041,279.0307312,134.343,,,0.261552,3.610161,0.0,603.66,10.17750,551.16,6.94149,-0.4125278,24.417349,,,,,,,,,,43.0,301.3650,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,27.2922630,21.8041725,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575387.83,4374,300.4714,0.015373,0.000,-1.0462245,9.990,-4.2089624,9.990,,0.002,,0.002,0.0049,-0.0049,0,0.00,0.00,0.00,0.00,7.8028836,,399.9998474,399.9998474,439.8695679,,,,,,,4358,300.000,0.015,-0.9,301.3199158,127.748,300.4714355,828.041,280.3220825,134.343,,,0.261552,3.619932,0.0,482.30,6.35988,440.29,4.24132,-0.4125278,24.056374,,,,,,,,,,43.0,300.4305,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,27.2218380,21.7817440,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575397.77,4373,299.6093,0.015373,0.000,-2.3796928,9.990,-3.1314158,9.990,,0.002,,0.002,-0.0049,0.0000,0,0.00,0.00,0.00,0.00,7.4227085,,399.9998474,399.9998474,439.8695679,,,,,,,4357,300.000,0.015,-0.9,300.5156555,127.748,299.6093445,828.041,281.4080200,134.343,,,0.261552,3.624817,0.0,525.52,7.48357,471.55,4.79785,-1.2375835,24.417349,,,,,,,,,,43.0,299.5956,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,27.0976963,21.7795124,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
