QuickDAQ Data
2018/12/27 22:01:46
Notes:,,
Sample Rate:,99.96746, Hz,
Measurement Type,Time Waveform,Time Waveform,
Channel Name,169.254.226.173.AD.1,169.254.226.173.AD.2,
X Axis Units,Sec,Sec,
Y Axis Units,V,V,
Time,Real,Real,
 1.35461E-005, 0.0187301636,-0.0090396404,
 1.36619E-005, 0.0184416771,-0.0089061260,
 1.37776E-005, 0.0183773041,-0.0088751316,
 1.38934E-005, 0.0186181068,-0.0089848042,
 1.40092E-005, 0.0187230110,-0.0090265274,
 1.41250E-005, 0.0185298920,-0.0089335442,
 1.42407E-005, 0.0183641911,-0.0088620186,
 1.43565E-005, 0.0183713436,-0.0088596344,
 1.44723E-005, 0.0185799599,-0.0089597702,
 1.45881E-005, 0.0188529491,-0.0091028214,
 1.47039E-005, 0.0188386440,-0.0090801716,
 1.48196E-005, 0.0188648701,-0.0090801716,
 1.49354E-005, 0.0187146664,-0.0090193748,
 1.50512E-005, 0.0186479092,-0.0089931488,
 1.51670E-005, 0.0189518929,-0.0091409683,
 1.52828E-005, 0.0188040733,-0.0090634823,
 1.53985E-005, 0.0187063217,-0.0090253353,
 1.55143E-005, 0.0188028812,-0.0090956688,
 1.56301E-005, 0.0189721584,-0.0091743469,
 1.57459E-005, 0.0192856789,-0.0093150139,
 1.58616E-005, 0.0192177296,-0.0092899799,
 1.59774E-005, 0.0193369389,-0.0093328953,
 1.60932E-005, 0.0195610523,-0.0094437599,
 1.62090E-005, 0.0193345547,-0.0093400478,
 1.63248E-005, 0.0190114975,-0.0091779232,
 1.64405E-005, 0.0192022324,-0.0092566013,
 1.65563E-005, 0.0191247463,-0.0092184544,
 1.66721E-005, 0.0189054012,-0.0091385841,
 1.67879E-005, 0.0190186501,-0.0091814995,
 1.69036E-005, 0.0190412998,-0.0091671944,
 1.70194E-005, 0.0527322292,-0.0254261494,
 1.71352E-005, 0.0862264633,-0.0416088104,
 1.72510E-005, 0.0860559940,-0.0415265560,
 1.73668E-005, 0.0867104530,-0.0418269634,
 1.74825E-005, 0.0872445107,-0.0420951843,
 1.75983E-005, 0.0874865055,-0.0422155857,
 1.77141E-005, 0.0877749920,-0.0423491001,
 1.78299E-005, 0.0875437260,-0.0422501564,
 1.79457E-005, 0.0872099400,-0.0420773029,
 1.80614E-005, 0.0873553753,-0.0421392918,
 1.81772E-005, 0.0877082348,-0.0423085690,
 1.82930E-005, 0.0875186920,-0.0422167778,
 1.84088E-005, 0.0875639915,-0.0422668457,
 1.85245E-005, 0.0879967213,-0.0424695015,
 1.86403E-005, 0.0876879692,-0.0423014164,
 1.87561E-005, 0.0876510143,-0.0422894955,
 1.88719E-005, 0.0878322124,-0.0423777103,
 1.89877E-005, 0.0870251656,-0.0419938564,
 1.91034E-005, 0.0865507126,-0.0417578220,
 1.92192E-005, 0.0863707066,-0.0416612625,
 1.93350E-005, 0.0857603550,-0.0413751602,
 1.94508E-005, 0.0859773159,-0.0414764881,
 1.95666E-005, 0.0864112377,-0.0416898727,
 1.96823E-005, 0.0862872601,-0.0416266918,
 1.97981E-005, 0.0863373280,-0.0416386127,
 1.99139E-005, 0.0866484642,-0.0418043137,
 2.00297E-005, 0.0865662098,-0.0417709351,
 2.01454E-005, 0.0860714912,-0.0415337086,
 2.02612E-005, 0.0860452652,-0.0415229797,
 2.03770E-005, 0.0862312317,-0.0416123867,
 2.04928E-005, 0.0865042210,-0.0417339802,
 2.06086E-005, 0.0861597061,-0.0415515900,
 2.07243E-005, 0.0857079029,-0.0413441658,
 2.08401E-005, 0.0857639313,-0.0413835049,
 2.09559E-005, 0.0858092308,-0.0413966179,
 2.10717E-005, 0.0857150555,-0.0413501263,
 2.11874E-005, 0.0855982304,-0.0412988663,
 2.13032E-005, 0.0859785080,-0.0414788723,
 2.14190E-005, 0.0862789154,-0.0416278839,
 2.15348E-005, 0.0864827633,-0.0417387486,
 2.16506E-005, 0.0865972042,-0.0417900085,
 2.17663E-005, 0.0866472721,-0.0417971611,
 2.18821E-005, 0.0868833065,-0.0419151783,
 2.19979E-005, 0.0867950916,-0.0418782234,
 2.21137E-005, 0.0863242149,-0.0416433811,
 2.22295E-005, 0.0861608982,-0.0415623188,
 2.23452E-005, 0.0860834122,-0.0415313244,
 2.24610E-005, 0.0862538815,-0.0416147709,
 2.25768E-005, 0.0864708424,-0.0417184830,
 2.26926E-005, 0.0862550735,-0.0416278839,
 2.28083E-005, 0.0863444805,-0.0416624546,
 2.29241E-005, 0.0861823559,-0.0415766239,
 2.30399E-005, 0.0860798359,-0.0415277481,
 2.31557E-005, 0.0861132145,-0.0415360928,
 2.32715E-005, 0.0860548019,-0.0415277481,
 2.33872E-005, 0.0860941410,-0.0415337086,
 2.35030E-005, 0.0859737396,-0.0414550304,
 2.36188E-005, 0.0859141350,-0.0414407253,
 2.37346E-005, 0.0857734680,-0.0413703918,
 2.38504E-005, 0.0858640671,-0.0414216518,
 2.39661E-005, 0.0861418247,-0.0415635109,
 2.40819E-005, 0.0859200954,-0.0414502621,
 2.41977E-005, 0.0856351852,-0.0413262844,
 2.43135E-005, 0.0856447220,-0.0413215160,
 2.44292E-005, 0.0856089592,-0.0412964821,
 2.45450E-005, 0.0856530666,-0.0413298607,
 2.46608E-005, 0.0859224796,-0.0414466858,
 2.47766E-005, 0.0859582424,-0.0414597988,
 2.48924E-005, 0.0857782364,-0.0413846970,
 2.50081E-005, 0.0859177113,-0.0414645672,
 2.51239E-005, 0.0858759880,-0.0414371490,
 2.52397E-005, 0.0855815411,-0.0412797928,
 2.53555E-005, 0.0858604908,-0.0414240360,
 2.54713E-005, 0.0860059261,-0.0415039063,
 2.55870E-005, 0.0855815411,-0.0413119793,
 2.57028E-005, 0.0855183601,-0.0412726402,
 2.58186E-005, 0.0859594345,-0.0414896011,
 2.59344E-005, 0.0863170624,-0.0416505337,
 2.60501E-005, 0.0861155987,-0.0415360928,
 2.61659E-005, 0.0857198238,-0.0413548946,
 2.62817E-005, 0.0857889652,-0.0413739681,
 2.63975E-005, 0.0857806206,-0.0413668156,
 2.65133E-005, 0.0853812695,-0.0411880016,
 2.66290E-005, 0.0851559639,-0.0410795212,
 2.67448E-005, 0.0855767727,-0.0412726402,
 2.68606E-005, 0.0858855247,-0.0414216518,
 2.69764E-005, 0.0860178471,-0.0415015221,
 2.70921E-005, 0.0858736038,-0.0414299965,
 2.72079E-005, 0.0856626034,-0.0413119793,
 2.73237E-005, 0.0862360001,-0.0415873528,
 2.74395E-005, 0.0863432884,-0.0416493416,
 2.75553E-005, 0.0865519047,-0.0417506695,
 2.76710E-005, 0.0865745544,-0.0417459011,
 2.77868E-005, 0.0863289833,-0.0416207314,
 2.79026E-005, 0.0860643387,-0.0415134430,
 2.80184E-005, 0.0859034061,-0.0414502621,
 2.81342E-005, 0.0861597061,-0.0415790081,
 2.82499E-005, 0.0864899158,-0.0417280197,
 2.83657E-005, 0.0862061977,-0.0415825844,
 2.84815E-005, 0.0857663155,-0.0413858891,
 2.85973E-005, 0.0861346722,-0.0415635109,
 2.87130E-005, 0.0860595703,-0.0415086746,
 2.88288E-005, 2.2167062759,-1.0800659657,
 2.89446E-005, 5.8447656631,-2.8657269478,
 2.90604E-005, 7.3299741745,-3.6240041256,
 2.91762E-005, 7.3071565628,-3.6456143856,
 2.92919E-005, 7.2860279083,-3.6653137207,
 2.94077E-005, 7.2667837143,-3.6838555336,
 2.95235E-005, 7.2489285469,-3.7013244629,
 2.96393E-005, 7.2318553925,-3.7176418304,
 2.97551E-005, 7.2160196304,-3.7332344055,
 2.98708E-005, 7.2007884979,-3.7479400635,
 2.99866E-005, 7.1860990524,-3.7618350983,
 3.01024E-005, 7.1720886230,-3.7751221657,
 3.02182E-005, 7.1589374542,-3.7879657745,
 3.03339E-005, 7.1465587616,-3.8004100323,
 3.04497E-005, 7.1344528198,-3.8122439384,
 3.05655E-005, 7.1223392487,-3.8233792782,
 3.06813E-005, 7.1105203629,-3.8340079784,
 3.07971E-005, 7.0998263359,-3.8446342945,
 3.09128E-005, 7.0891690254,-3.8546741009,
 3.10286E-005, 7.0786752701,-3.8642668724,
 3.11444E-005, 7.0690655708,-3.8738524914,
 3.12602E-005, 7.0599784851,-3.8832020760,
 3.13760E-005, 7.0511760712,-3.8921618462,
 3.14917E-005, 7.0422401428,-3.9006555080,
 3.16075E-005, 7.0335483551,-3.9089429379,
 3.17233E-005, 7.0249881744,-3.9169120789,
 3.18391E-005, 7.0166659355,-3.9246141911,
 3.19548E-005, 7.0088872910,-3.9322507381,
 3.20706E-005, 7.0013389587,-3.9396595955,
 3.21864E-005, 6.9938731194,-3.9467740059,
 3.23022E-005, 6.9864702225,-3.9535832405,
 3.24180E-005, 6.9797334671,-3.9604532719,
 3.25337E-005, 6.9733819962,-3.9672422409,
 3.26495E-005, 6.9665136337,-3.9734256268,
 3.27653E-005, 6.9597806931,-3.9793562889,
 3.28811E-005, 6.9535694122,-3.9852833748,
 3.29968E-005, 6.9479942322,-3.9913082123,
 3.31126E-005, 6.9422268867,-3.9969372749,
 3.32284E-005, 6.9364223480,-4.0022468567,
 3.33442E-005, 6.9310464859,-4.0075407028,
 3.34600E-005, 6.9258570671,-4.0126657486,
 3.35757E-005, 6.9209146500,-4.0176334381,
 3.36915E-005, 6.9162178040,-4.0224933624,
 3.38073E-005, 6.9116172791,-4.0271816254,
 3.39231E-005, 6.9066929817,-4.0313982964,
 3.40389E-005, 6.9018793106,-4.0354528427,
 3.41546E-005, 6.8976521492,-4.0396108627,
 3.42704E-005, 6.8938040733,-4.0437102318,
 3.43862E-005, 6.8899846077,-4.0475916862,
 3.45020E-005, 6.8860268593,-4.0511312485,
 3.46177E-005, 6.8824052811,-4.0546092987,
 3.47335E-005, 6.8791952133,-4.0581169128,
 3.48493E-005, 6.8758559227,-4.0613079071,
 3.49651E-005, 6.8724718094,-4.0641689301,
 3.50809E-005, 6.8696556091,-4.0668954849,
 3.51966E-005, 6.8669104576,-4.0693354607,
 3.53124E-005, 6.8641853333,-4.0716972351,
 3.54282E-005, 6.8621730804,-4.0743312836,
 3.55440E-005, 6.8600249290,-4.0766963959,
 3.56598E-005, 6.8574991226,-4.0785789490,
 3.57755E-005, 6.8555259705,-4.0804576874,
 3.58913E-005, 6.8540000916,-4.0823030472,
 3.60071E-005, 6.8523368835,-4.0837774277,
 3.61229E-005, 6.8508949280,-4.0851283073,
 3.62386E-005, 6.8497848511,-4.0864276886,
 3.63544E-005, 6.8489370346,-4.0876173973,
 3.64702E-005, 6.8479490280,-4.0884122849,
 3.65860E-005, 6.8468532562,-4.0888175964,
 3.67018E-005, 6.8461298943,-4.0891814232,
 3.68175E-005, 6.8458328247,-4.0895533562,
 3.69333E-005, 6.8460536003,-4.0899014473,
 3.70491E-005, 6.8464040756,-4.0899887085,
 3.71649E-005, 6.8466224670,-4.0897188187,
 3.72806E-005, 6.8468546867,-4.0891351700,
 3.73964E-005, 6.8472933769,-4.0883674622,
 3.75122E-005, 6.8479871750,-4.0874361992,
 3.76280E-005, 6.8492507935,-4.0864810944,
 3.77438E-005, 6.8507599831,-4.0853586197,
 3.78595E-005, 6.8522109985,-4.0838599205,
 3.79753E-005, 6.8541789055,-4.0823507309,
 3.80911E-005, 6.8562259674,-4.0805492401,
 3.82069E-005, 6.8583240509,-4.0783452988,
 3.83227E-005, 6.8608617783,-4.0760478973,
 3.84384E-005, 6.8634452820,-4.0734348297,
 3.85542E-005, 6.8660688400,-4.0704774857,
 3.86700E-005, 6.8693504333,-4.0675163269,
 3.87858E-005, 6.8727636337,-4.0642261505,
 3.89015E-005, 6.8761501312,-4.0605115891,
 3.90173E-005, 6.8801107407,-4.0567216873,
 3.91331E-005, 6.8845438957,-4.0527963638,
 3.92489E-005, 6.8890228271,-4.0484786034,
 3.93647E-005, 6.8933382034,-4.0435934067,
 3.94804E-005, 6.8981418610,-4.0385484695,
 3.95962E-005, 6.9034729004,-4.0333938599,
 3.97120E-005, 6.9092664719,-4.0280904770,
 3.98278E-005, 6.9151568413,-4.0224227905,
 3.99436E-005, 6.9217133522,-4.0166625977,
 4.00593E-005, 6.9284915924,-4.0105142593,
 4.01751E-005, 6.9346437454,-4.0035114288,
 4.02909E-005, 6.9417643547,-3.9965736866,
 4.04067E-005, 6.9496560097,-3.9895308018,
 4.05224E-005, 6.9575653076,-3.9819645882,
 4.06382E-005, 6.9655704498,-3.9739918709,
 4.07540E-005, 6.9742240906,-3.9658391476,
 4.08698E-005, 6.9833445549,-3.9574158192,
 4.09856E-005, 6.9925689697,-3.9484989643,
 4.11013E-005, 7.0017633438,-3.9390039444,
 4.12171E-005, 7.0114793777,-3.9292466640,
 4.13329E-005, 7.0219278336,-3.9193618298,
 4.14487E-005, 7.0324764252,-3.9089906216,
 4.15645E-005, 7.0430936813,-3.8980460167,
 4.16802E-005, 7.0540499687,-3.8867199421,
 4.17960E-005, 7.0659646988,-3.8753724098,
 4.19118E-005, 7.0785512924,-3.8637983799,
 4.20276E-005, 7.0912981033,-3.8516736031,
 4.21433E-005, 7.1041584015,-3.8389265537,
 4.22591E-005, 7.1174120903,-3.8258218765,
 4.23749E-005, 7.1314167976,-3.8125491142,
 4.24907E-005, 7.1455693245,-3.7987077236,
 4.26065E-005, 7.1603107452,-3.7845301628,
 4.27222E-005, 7.1758460999,-3.7701654434,
 4.28380E-005, 7.1916189194,-3.7552881241,
 4.29538E-005, 7.2074317932,-3.7397730350,
 4.30696E-005, 7.2238149643,-3.7238633633,
 4.31853E-005, 7.2406172752,-3.7075471878,
 4.33011E-005, 7.2579669952,-3.6908638477,
 4.34169E-005, 7.2759509087,-3.6738288403,
 4.35327E-005, 7.2939071655,-3.6561298370,
 4.36485E-005, 7.3121299744,-3.6379170418,
 4.37642E-005, 7.3309922218,-3.6193561554,
 4.38800E-005, 7.3502302170,-3.6003220081,
 4.39958E-005, 7.3697462082,-3.5807597637,
 4.41116E-005, 7.3904895782,-3.5611641407,
 4.42274E-005, 7.4115285873,-3.5410284996,
 4.43431E-005, 7.4324941635,-3.5202717781,
 4.44589E-005, 7.4541354179,-3.4994602203,
 4.45747E-005, 7.4763288498,-3.4783267975,
 4.46905E-005, 7.4990391731,-3.4565734863,
 4.48062E-005, 7.5218629837,-3.4342420101,
 4.49220E-005, 7.5450634956,-3.4115290642,
 4.50378E-005, 7.5683841705,-3.3883070946,
 4.51536E-005, 7.5911402702,-3.3657360077,
 4.52694E-005, 7.6148986816,-3.3431673050,
 4.53851E-005, 7.6401081085,-3.3191990852,
 4.55009E-005, 7.6654791832,-3.2947015762,
 4.56167E-005, 7.6911201477,-3.2697129250,
 4.57325E-005, 7.7169551849,-3.2442486286,
 4.58483E-005, 7.7434883118,-3.2186067104,
 4.59640E-005, 7.7706050873,-3.1927204132,
 4.60798E-005, 7.7978601456,-3.1662607193,
 4.61956E-005, 7.8253769875,-3.1394338608,
 4.63114E-005, 7.8532304764,-3.1122791767,
 4.64271E-005, 7.8812303543,-3.0848264694,
 4.65429E-005, 7.9097938538,-3.0571794510,
 4.66587E-005, 7.9387831688,-3.0293202400,
 4.67745E-005, 7.9674854279,-3.0011594296,
 4.68903E-005, 7.9966235161,-2.9727375507,
 4.70060E-005, 8.0266580582,-2.9442954063,
 4.71218E-005, 8.0566864014,-2.9156625271,
 4.72376E-005, 8.0863618851,-2.8865933418,
 4.73534E-005, 8.1160058975,-2.8573918343,
 4.74691E-005, 8.1460485458,-2.8280532360,
 4.75849E-005, 8.1766223907,-2.7986538410,
 4.77007E-005, 8.2068815231,-2.7691471577,
 4.78165E-005, 8.2373962402,-2.7396523952,
 4.79323E-005, 8.2680025101,-2.7101182938,
 4.80480E-005, 8.2982769012,-2.6804637909,
 4.81638E-005, 8.3286037445,-2.6508140564,
 4.82796E-005, 8.3590469360,-2.6212728024,
 4.83954E-005, 8.3894138336,-2.5918066502,
 4.85112E-005, 8.4198045731,-2.5625061989,
 4.86269E-005, 8.4500885010,-2.5334370136,
 4.87427E-005, 8.4798383713,-2.5043916702,
 4.88585E-005, 8.5096187592,-2.4755275249,
 4.89743E-005, 8.5388088226,-2.4468708038,
 4.90900E-005, 8.5678787231,-2.4185967445,
 4.92058E-005, 8.5972223282,-2.3908221722,
 4.93216E-005, 8.6253318787,-2.3631048203,
 4.94374E-005, 8.6529846191,-2.3357033730,
 4.95532E-005, 8.6811151505,-2.3089957237,
 4.96689E-005, 8.7084951401,-2.2828555107,
 4.97847E-005, 8.7346801758,-2.2569835186,
 4.99005E-005, 8.7606754303,-2.2316312790,
 5.00163E-005, 8.7865657806,-2.2069299221,
 5.01321E-005, 8.8110437393,-2.1825253963,
 5.02478E-005, 8.8354911804,-2.1586060524,
 5.03636E-005, 8.8600339890,-2.1353602409,
 5.04794E-005, 8.8836107254,-2.1126198769,
 5.05952E-005, 8.9065990448,-2.0902836323,
 5.07109E-005, 8.9290151596,-2.0683944225,
 5.08267E-005, 8.9508304596,-2.0470869541,
 5.09425E-005, 8.9721622467,-2.0261788368,
 5.10583E-005, 8.9933376312,-2.0056879520,
 5.11741E-005, 9.0134773254,-1.9856047630,
 5.12898E-005, 9.0329208374,-1.9660711288,
 5.14056E-005, 9.0529432297,-1.9472765923,
 5.15214E-005, 9.0720882416,-1.9288241863,
 5.16372E-005, 9.0902509689,-1.9106197357,
 5.17530E-005, 9.1086463928,-1.8930339813,
 5.18687E-005, 9.1266193390,-1.8758773804,
 5.19845E-005, 9.1438636780,-1.8589901924,
 5.21003E-005, 9.1611242294,-1.8425834179,
 5.22161E-005, 9.1782264709,-1.8265891075,
 5.23318E-005, 9.1943702698,-1.8108332157,
 5.24476E-005, 9.2100954056,-1.7954862118,
 5.25634E-005, 9.2256565094,-1.7805564404,
 5.26792E-005, 9.2406311035,-1.7659139633,
 5.27950E-005, 9.2553720474,-1.7516267300,
 5.29107E-005, 9.2693614960,-1.7375624180,
 5.30265E-005, 9.2833223343,-1.7238616943,
